"Step","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-09_11-54-21_hopper-medium-v2_fql_mlp_ta4_td4_seed42 - avg episode reward - eval","2025-05-09_11-54-21_hopper-medium-v2_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MIN","2025-05-09_11-54-21_hopper-medium-v2_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MAX","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-01_14-00-20_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-01_14-00-00_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-01_14-00-00_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-01_14-00-00_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-04-28_21-53-42_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-04-28_21-53-42_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-04-28_21-53-42_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-04-28_21-53-30_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-04-28_21-53-30_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-04-28_21-53-30_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-04-28_21-52-13_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-04-28_21-52-13_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-04-28_21-52-13_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","15-03-59_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval","15-03-59_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MIN","15-03-59_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MAX","23-55-21_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval","23-55-21_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MIN","23-55-21_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MAX","23-39-24_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval","23-39-24_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MIN","23-39-24_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MAX"
"0","57.069579331341245","57.069579331341245","57.069579331341245","54.677357697038076","54.677357697038076","54.677357697038076","84.99519004496167","84.99519004496167","84.99519004496167","1445.7689806805809","1445.7689806805809","1445.7689806805809","1524.8999316718248","1524.8999316718248","1524.8999316718248","1508.6776211277222","1508.6776211277222","1508.6776211277222","1431.4120907631968","1431.4120907631968","1431.4120907631968","1489.2212538330052","1489.2212538330052","1489.2212538330052","1414.3651114529143","1414.3651114529143","1414.3651114529143","1457.2692287240777","1457.2692287240777","1457.2692287240777","1453.9407341405424","1453.9407341405424","1453.9407341405424","1405.753702659378","1405.753702659378","1405.753702659378"
"10","","","","","","","","","","1621.1459158413534","1621.1459158413534","1621.1459158413534","1637.3722678691731","1637.3722678691731","1637.3722678691731","1767.759934440505","1767.759934440505","1767.759934440505","1591.5455399327543","1591.5455399327543","1591.5455399327543","1692.6793210729115","1692.6793210729115","1692.6793210729115","1673.4595563100065","1673.4595563100065","1673.4595563100065","1606.241329259521","1606.241329259521","1606.241329259521","1588.2167270305808","1588.2167270305808","1588.2167270305808","1607.3958811659854","1607.3958811659854","1607.3958811659854"
"20","","","","","","","","","","2948.3649365948386","2948.3649365948386","2948.3649365948386","2928.6988321518143","2928.6988321518143","2928.6988321518143","2852.4140914793616","2852.4140914793616","2852.4140914793616","2643.3493153592503","2643.3493153592503","2643.3493153592503","2767.4698155452083","2767.4698155452083","2767.4698155452083","2486.8912996278063","2486.8912996278063","2486.8912996278063","2200.6929677051185","2200.6929677051185","2200.6929677051185","2297.3206351878625","2297.3206351878625","2297.3206351878625","2262.4758158852196","2262.4758158852196","2262.4758158852196"
"30","","","","","","","","","","2659.0453007183514","2659.0453007183514","2659.0453007183514","2787.1144533760494","2787.1144533760494","2787.1144533760494","2636.151083091393","2636.151083091393","2636.151083091393","2195.6874836849297","2195.6874836849297","2195.6874836849297","2476.5985527222833","2476.5985527222833","2476.5985527222833","2609.59006535991","2609.59006535991","2609.59006535991","2684.3776030581116","2684.3776030581116","2684.3776030581116","2882.3446856467954","2882.3446856467954","2882.3446856467954","2855.154929592775","2855.154929592775","2855.154929592775"
"40","","","","","","","","","","2591.385324268063","2591.385324268063","2591.385324268063","2741.103327301703","2741.103327301703","2741.103327301703","2579.821369550419","2579.821369550419","2579.821369550419","1998.5226762580162","1998.5226762580162","1998.5226762580162","2061.4621632932685","2061.4621632932685","2061.4621632932685","2304.1639868067487","2304.1639868067487","2304.1639868067487","2858.5261432811994","2858.5261432811994","2858.5261432811994","2865.4645777250926","2865.4645777250926","2865.4645777250926","2741.541194429744","2741.541194429744","2741.541194429744"
"50","","","","","","","","","","2396.303704253176","2396.303704253176","2396.303704253176","2761.9901890767496","2761.9901890767496","2761.9901890767496","2638.437055798734","2638.437055798734","2638.437055798734","1347.2409007687993","1347.2409007687993","1347.2409007687993","1695.965863812685","1695.965863812685","1695.965863812685","2260.6550360887754","2260.6550360887754","2260.6550360887754","2813.9899738474064","2813.9899738474064","2813.9899738474064","2812.39429328331","2812.39429328331","2812.39429328331","2699.2833939925504","2699.2833939925504","2699.2833939925504"
"60","","","","","","","","","","2641.805112228161","2641.805112228161","2641.805112228161","2776.6229407873516","2776.6229407873516","2776.6229407873516","2679.0308203809436","2679.0308203809436","2679.0308203809436","1819.966053287832","1819.966053287832","1819.966053287832","1981.7870375290474","1981.7870375290474","1981.7870375290474","1988.7796417798106","1988.7796417798106","1988.7796417798106","2774.734204847212","2774.734204847212","2774.734204847212","2726.6383998638394","2726.6383998638394","2726.6383998638394","2713.7927855052208","2713.7927855052208","2713.7927855052208"
"70","","","","","","","","","","2489.550828882213","2489.550828882213","2489.550828882213","2756.7352584283117","2756.7352584283117","2756.7352584283117","2712.740783661552","2712.740783661552","2712.740783661552","2084.9073067814543","2084.9073067814543","2084.9073067814543","2278.206928350418","2278.206928350418","2278.206928350418","2183.2649316556995","2183.2649316556995","2183.2649316556995","2723.082721550707","2723.082721550707","2723.082721550707","2684.4971330824483","2684.4971330824483","2684.4971330824483","2586.9044459076463","2586.9044459076463","2586.9044459076463"
"80","","","","","","","","","","2634.714851287513","2634.714851287513","2634.714851287513","2695.0182572275676","2695.0182572275676","2695.0182572275676","2749.1361479520137","2749.1361479520137","2749.1361479520137","2150.3143979910706","2150.3143979910706","2150.3143979910706","2389.9749470076868","2389.9749470076868","2389.9749470076868","2604.8011433070046","2604.8011433070046","2604.8011433070046","2723.647588104747","2723.647588104747","2723.647588104747","2665.668784118916","2665.668784118916","2665.668784118916","2649.4144975816134","2649.4144975816134","2649.4144975816134"
"90","","","","","","","","","","2694.7985650587193","2694.7985650587193","2694.7985650587193","2720.0815005798563","2720.0815005798563","2720.0815005798563","2793.1293049706533","2793.1293049706533","2793.1293049706533","2362.356989142538","2362.356989142538","2362.356989142538","2587.4458539809325","2587.4458539809325","2587.4458539809325","2628.5526422156395","2628.5526422156395","2628.5526422156395","2662.7790798338888","2662.7790798338888","2662.7790798338888","2613.4243453171575","2613.4243453171575","2613.4243453171575","2599.682873572","2599.682873572","2599.682873572"
