"Step","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed0 - avg episode reward - eval","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed0 - avg episode reward - eval__MIN","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed0 - avg episode reward - eval__MAX","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed3407 - avg episode reward - eval","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed3407 - avg episode reward - eval__MIN","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed3407 - avg episode reward - eval__MAX","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed42 - avg episode reward - eval","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed42 - avg episode reward - eval__MIN","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed42 - avg episode reward - eval__MAX","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-02_11-44-40_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-02_11-44-40_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-02_11-44-40_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-02_11-38-26_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-02_11-38-26_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-02_11-38-26_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-02_11-38-41_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-02_11-38-41_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-02_11-38-41_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-02_01-26-13_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - eval/avg episode reward","2025-05-02_01-26-13_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - eval/avg episode reward__MIN","2025-05-02_01-26-13_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - eval/avg episode reward__MAX"
"0","234.55195897818962","234.55195897818962","234.55195897818962","147.8617009534802","147.8617009534802","147.8617009534802","176.91806362286107","176.91806362286107","176.91806362286107","1759.5996939904144","1759.5996939904144","1759.5996939904144","2167.3088533915766","2167.3088533915766","2167.3088533915766","1992.486967612897","1992.486967612897","1992.486967612897","2093.2916034237805","2093.2916034237805","2093.2916034237805","1797.1775107948642","1797.1775107948642","1797.1775107948642","1712.7153614722224","1712.7153614722224","1712.7153614722224","1683.6307806172365","1683.6307806172365","1683.6307806172365"
"10","","","","","","","","","","2104.4082320900707","2104.4082320900707","2104.4082320900707","1908.3731043344524","1908.3731043344524","1908.3731043344524","2154.1616826760333","2154.1616826760333","2154.1616826760333","2370.7759888747432","2370.7759888747432","2370.7759888747432","2125.6946619987875","2125.6946619987875","2125.6946619987875","1820.3974839698128","1820.3974839698128","1820.3974839698128","2182.4717891028763","2182.4717891028763","2182.4717891028763"
"20","","","","","","","","","","2910.216901688275","2910.216901688275","2910.216901688275","3094.0564663218506","3094.0564663218506","3094.0564663218506","2853.3526646758532","2853.3526646758532","2853.3526646758532","2889.362378424756","2889.362378424756","2889.362378424756","2894.7134123046444","2894.7134123046444","2894.7134123046444","2737.7652894704074","2737.7652894704074","2737.7652894704074","3361.3164120867364","3361.3164120867364","3361.3164120867364"
"30","","","","","","","","","","3968.6457385248013","3968.6457385248013","3968.6457385248013","3633.868684083158","3633.868684083158","3633.868684083158","2959.0942375876184","2959.0942375876184","2959.0942375876184","3836.1638937727757","3836.1638937727757","3836.1638937727757","3914.8732905147854","3914.8732905147854","3914.8732905147854","3816.554987069364","3816.554987069364","3816.554987069364","4052.3645049813567","4052.3645049813567","4052.3645049813567"
"40","","","","","","","","","","4301.4378357789265","4301.4378357789265","4301.4378357789265","4217.131139537318","4217.131139537318","4217.131139537318","3222.319005834392","3222.319005834392","3222.319005834392","4133.933826245746","4133.933826245746","4133.933826245746","4482.942751203791","4482.942751203791","4482.942751203791","4630.497174008941","4630.497174008941","4630.497174008941","4645.496873497036","4645.496873497036","4645.496873497036"
"50","","","","","","","","","","4925.208057918854","4925.208057918854","4925.208057918854","4652.965071801489","4652.965071801489","4652.965071801489","3661.951299254343","3661.951299254343","3661.951299254343","4343.173182068015","4343.173182068015","4343.173182068015","4600.519483237386","4600.519483237386","4600.519483237386","4784.681864578063","4784.681864578063","4784.681864578063","4602.181713768353","4602.181713768353","4602.181713768353"
"60","","","","","","","","","","5076.796530944848","5076.796530944848","5076.796530944848","4658.427145336253","4658.427145336253","4658.427145336253","4401.426472154487","4401.426472154487","4401.426472154487","4389.188030478753","4389.188030478753","4389.188030478753","4824.287710694167","4824.287710694167","4824.287710694167","4838.50327572445","4838.50327572445","4838.50327572445","4860.165756110833","4860.165756110833","4860.165756110833"
"70","","","","","","","","","","4995.739367721915","4995.739367721915","4995.739367721915","4965.455370279315","4965.455370279315","4965.455370279315","4442.796500913486","4442.796500913486","4442.796500913486","4515.352235047836","4515.352235047836","4515.352235047836","5022.887188843448","5022.887188843448","5022.887188843448","4937.584346193761","4937.584346193761","4937.584346193761","5019.084453323332","5019.084453323332","5019.084453323332"
"80","","","","","","","","","","4962.330224219482","4962.330224219482","4962.330224219482","5028.911786871994","5028.911786871994","5028.911786871994","4627.33950677748","4627.33950677748","4627.33950677748","4874.1018706285","4874.1018706285","4874.1018706285","5109.614884674983","5109.614884674983","5109.614884674983","5037.279943344518","5037.279943344518","5037.279943344518","4731.7994669686295","4731.7994669686295","4731.7994669686295"
"90","","","","","","","","","","4831.9075672103945","4831.9075672103945","4831.9075672103945","4843.310181901598","4843.310181901598","4843.310181901598","4567.507463040425","4567.507463040425","4567.507463040425","5061.47900890088","5061.47900890088","5061.47900890088","4991.224379475072","4991.224379475072","4991.224379475072","4999.211400015889","4999.211400015889","4999.211400015889","4934.48082016218","4934.48082016218","4934.48082016218"
