"Step","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_21-14-05_kitchen-complete-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","17-52-52_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval","17-52-52_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MIN","17-52-52_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MAX","17-52-02_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval","17-52-02_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MIN","17-52-02_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MAX","2025-05-10_17-42-59_kitchen-complete-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval","2025-05-10_17-42-59_kitchen-complete-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MIN","2025-05-10_17-42-59_kitchen-complete-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MAX","2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward","2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MIN","2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MAX","2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward","2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward__MIN","2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward__MAX","2025-05-08_07-05-08_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval","2025-05-08_07-05-08_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MIN","2025-05-08_07-05-08_kitchen-complete-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MAX","2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward","2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MIN","2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MAX"
"0","0","0","0","0","0","0","2.475","2.475","2.475","2.75","2.75","2.75","0","0","0","2.8947368421052633","2.8947368421052633","2.8947368421052633","2.911504424778761","2.911504424778761","2.911504424778761","2.7876106194690267","2.7876106194690267","2.7876106194690267","2.9732142857142856","2.9732142857142856","2.9732142857142856"
"10","","","","","","","2.625","2.625","2.625","2.9","2.9","2.9","","","","3.6842105263157894","3.6842105263157894","3.6842105263157894","3.488","3.488","3.488","2.9649122807017543","2.9649122807017543","2.9649122807017543","3.826388888888889","3.826388888888889","3.826388888888889"
"20","","","","","","","3.2","3.2","3.2","2.675","2.675","2.675","","","","3.836734693877551","3.836734693877551","3.836734693877551","3.6744186046511627","3.6744186046511627","3.6744186046511627","3.4296875","3.4296875","3.4296875","3.9027777777777777","3.9027777777777777","3.9027777777777777"
"30","","","","","","","3.15","3.15","3.15","2.9","2.9","2.9","","","","3.8639455782312924","3.8639455782312924","3.8639455782312924","3.8345323741007196","3.8345323741007196","3.8345323741007196","3.664233576642336","3.664233576642336","3.664233576642336","3.9194630872483223","3.9194630872483223","3.9194630872483223"
"40","","","","","","","3.025","3.025","3.025","2.825","2.825","2.825","","","","3.815068493150685","3.815068493150685","3.815068493150685","3.8345323741007196","3.8345323741007196","3.8345323741007196","3.7553956834532376","3.7553956834532376","3.7553956834532376","3.9271523178807946","3.9271523178807946","3.9271523178807946"
"50","","","","","","","3.5","3.5","3.5","3.05","3.05","3.05","","","","3.8926174496644297","3.8926174496644297","3.8926174496644297","3.8472222222222223","3.8472222222222223","3.8472222222222223","3.838926174496644","3.838926174496644","3.838926174496644","3.935483870967742","3.935483870967742","3.935483870967742"
"60","","","","","","","3.7","3.7","3.7","3.175","3.175","3.175","","","","3.848684210526316","3.848684210526316","3.848684210526316","3.8380281690140845","3.8380281690140845","3.8380281690140845","3.8493150684931505","3.8493150684931505","3.8493150684931505","3.9290322580645163","3.9290322580645163","3.9290322580645163"
"70","","","","","","","3.325","3.325","3.325","3.5","3.5","3.5","","","","3.9612903225806453","3.9612903225806453","3.9612903225806453","3.9054054054054053","3.9054054054054053","3.9054054054054053","3.7777777777777777","3.7777777777777777","3.7777777777777777","3.9290322580645163","3.9290322580645163","3.9290322580645163"
"80","","","","","","","3.775","3.775","3.775","3.125","3.125","3.125","","","","3.8933333333333335","3.8933333333333335","3.8933333333333335","3.7785714285714285","3.7785714285714285","3.7785714285714285","3.9430379746835444","3.9430379746835444","3.9430379746835444","3.9235668789808917","3.9235668789808917","3.9235668789808917"
"90","","","","","","","3.85","3.85","3.85","3.225","3.225","3.225","","","","3.838926174496644","3.838926174496644","3.838926174496644","3.825174825174825","3.825174825174825","3.825174825174825","3.930817610062893","3.930817610062893","3.930817610062893","3.92258064516129","3.92258064516129","3.92258064516129"
"100","","","","","","","3.65","3.65","3.65","3.675","3.675","3.675","","","","3.780821917808219","3.780821917808219","3.780821917808219","3.8733333333333335","3.8733333333333335","3.8733333333333335","3.8867924528301887","3.8867924528301887","3.8867924528301887","3.9038461538461537","3.9038461538461537","3.9038461538461537"
