"Step","2025-05-10_21-46-00_kitchen-partial-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_21-46-00_kitchen-partial-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_21-46-00_kitchen-partial-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","2025-05-10_21-46-00_kitchen-partial-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval","2025-05-10_21-46-00_kitchen-partial-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MIN","2025-05-10_21-46-00_kitchen-partial-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MAX","2025-05-10_21-45-58_kitchen-partial-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_21-45-58_kitchen-partial-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_21-45-58_kitchen-partial-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-10_21-45-59_kitchen-partial-v0_fql_mlp_ta4_td4_seed2025 - avg episode reward - eval","2025-05-10_21-45-59_kitchen-partial-v0_fql_mlp_ta4_td4_seed2025 - avg episode reward - eval__MIN","2025-05-10_21-45-59_kitchen-partial-v0_fql_mlp_ta4_td4_seed2025 - avg episode reward - eval__MAX","2025-05-10_21-45-58_kitchen-partial-v0_fql_mlp_ta4_td4_seed509 - avg episode reward - eval","2025-05-10_21-45-58_kitchen-partial-v0_fql_mlp_ta4_td4_seed509 - avg episode reward - eval__MIN","2025-05-10_21-45-58_kitchen-partial-v0_fql_mlp_ta4_td4_seed509 - avg episode reward - eval__MAX","2025-05-09_18-31-11_kitchen-partial-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed509 - avg episode reward - eval","2025-05-09_18-31-11_kitchen-partial-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed509 - avg episode reward - eval__MIN","2025-05-09_18-31-11_kitchen-partial-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed509 - avg episode reward - eval__MAX","2025-05-09_18-31-00_kitchen-partial-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed2025 - avg episode reward - eval","2025-05-09_18-31-00_kitchen-partial-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed2025 - avg episode reward - eval__MIN","2025-05-09_18-31-00_kitchen-partial-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed2025 - avg episode reward - eval__MAX","2025-05-09_18-30-47_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed509 - eval/avg episode reward","2025-05-09_18-30-47_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed509 - eval/avg episode reward__MIN","2025-05-09_18-30-47_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed509 - eval/avg episode reward__MAX","2025-05-09_18-30-07_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed2025 - eval/avg episode reward","2025-05-09_18-30-07_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed2025 - eval/avg episode reward__MIN","2025-05-09_18-30-07_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed2025 - eval/avg episode reward__MAX","2025-05-09_15-40-21_kitchen-partial-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval","2025-05-09_15-40-21_kitchen-partial-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MIN","2025-05-09_15-40-21_kitchen-partial-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MAX","2025-05-09_15-40-31_kitchen-partial-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval","2025-05-09_15-40-31_kitchen-partial-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MIN","2025-05-09_15-40-31_kitchen-partial-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MAX","2025-05-09_10-23-03_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_3407 - eval/avg episode reward","2025-05-09_10-23-03_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_3407 - eval/avg episode reward__MIN","2025-05-09_10-23-03_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_3407 - eval/avg episode reward__MAX","2025-05-09_10-22-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_0 - eval/avg episode reward","2025-05-09_10-22-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_0 - eval/avg episode reward__MIN","2025-05-09_10-22-48_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_0 - eval/avg episode reward__MAX","2025-05-08_23-03-16_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward","2025-05-08_23-03-16_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MIN","2025-05-08_23-03-16_kitchen-partial-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MAX","2025-05-08_20-34-30_kitchen-partial-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval","2025-05-08_20-34-30_kitchen-partial-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MIN","2025-05-08_20-34-30_kitchen-partial-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6666666666666667","1.6666666666666667","1.6666666666666667","1.5625","1.5625","1.5625","1.5875","1.5875","1.5875","1.6","1.6","1.6","1.575","1.575","1.575","1.7","1.7","1.7","1.6125","1.6125","1.6125","1.5875","1.5875","1.5875","1.6125","1.6125","1.6125","1.675","1.675","1.675"
"10","","","","","","","","","","","","","","","","1.525","1.525","1.525","1.8625","1.8625","1.8625","1.6666666666666667","1.6666666666666667","1.6666666666666667","1.7625","1.7625","1.7625","2","2","2","2.4939759036144578","2.4939759036144578","2.4939759036144578","1.925","1.925","1.925","1.675","1.675","1.675","2.088888888888889","2.088888888888889","2.088888888888889","2.4125","2.4125","2.4125"
"20","","","","","","","","","","","","","","","","2.825","2.825","2.825","2.125","2.125","2.125","2.3956043956043955","2.3956043956043955","2.3956043956043955","1.975","1.975","1.975","2.0375","2.0375","2.0375","2.925925925925926","2.925925925925926","2.925925925925926","2.1125","2.1125","2.1125","1.9375","1.9375","1.9375","2.736842105263158","2.736842105263158","2.736842105263158","3","3","3"
"30","","","","","","","","","","","","","","","","2.9375","2.9375","2.9375","2.675","2.675","2.675","3","3","3","2.0375","2.0375","2.0375","2.025","2.025","2.025","2.95","2.95","2.95","2.225","2.225","2.225","2.45","2.45","2.45","3.3660714285714284","3.3660714285714284","3.3660714285714284","2.975","2.975","2.975"
"40","","","","","","","","","","","","","","","","3","3","3","2.8625","2.8625","2.8625","3.4017094017094016","3.4017094017094016","3.4017094017094016","2.3902439024390243","2.3902439024390243","2.3902439024390243","2.3625","2.3625","2.3625","3","3","3","2.45","2.45","2.45","2.725","2.725","2.725","3.591666666666667","3.591666666666667","3.591666666666667","2.9875","2.9875","2.9875"
"50","","","","","","","","","","","","","","","","3","3","3","2.9875","2.9875","2.9875","3.5476190476190474","3.5476190476190474","3.5476190476190474","2.602409638554217","2.602409638554217","2.602409638554217","2.7625","2.7625","2.7625","3","3","3","2.625","2.625","2.625","2.9125","2.9125","2.9125","3.705426356589147","3.705426356589147","3.705426356589147","2.9875","2.9875","2.9875"
"60","","","","","","","","","","","","","","","","3","3","3","3","3","3","3.6692913385826773","3.6692913385826773","3.6692913385826773","2.8941176470588235","2.8941176470588235","2.8941176470588235","2.9125","2.9125","2.9125","3","3","3","2.8875","2.8875","2.8875","2.8875","2.8875","2.8875","3.7593984962406015","3.7593984962406015","3.7593984962406015","3","3","3"
"70","","","","","","","","","","","","","","","","3","3","3","3","3","3","3.648","3.648","3.648","2.9012345679012346","2.9012345679012346","2.9012345679012346","2.9875","2.9875","2.9875","2.9875","2.9875","2.9875","2.9","2.9","2.9","2.9625","2.9625","2.9625","3.857142857142857","3.857142857142857","3.857142857142857","3","3","3"
"80","","","","","","","","","","","","","","","","3","3","3","3","3","3","3.798507462686567","3.798507462686567","3.798507462686567","2.9390243902439024","2.9390243902439024","2.9390243902439024","3","3","3","2.975","2.975","2.975","2.8375","2.8375","2.8375","2.975","2.975","2.975","3.8450704225352115","3.8450704225352115","3.8450704225352115","3","3","3"
"90","","","","","","","","","","","","","","","","3","3","3","3","3","3","3.783582089552239","3.783582089552239","3.783582089552239","2.95","2.95","2.95","3","3","3","2.9875","2.9875","2.9875","2.8875","2.8875","2.8875","2.975","2.975","2.975","3.820143884892086","3.820143884892086","3.820143884892086","3","3","3"
"100","","","","","","","","","","","","","","","","3.0123456790123457","3.0123456790123457","3.0123456790123457","3","3","3","3.839160839160839","3.839160839160839","3.839160839160839","2.9375","2.9375","2.9375","3","3","3","2.975","2.975","2.975","2.9","2.9","2.9","2.975","2.975","2.975","3.945578231292517","3.945578231292517","3.945578231292517","3","3","3"
"110","","","","","","","","","","","","","","","","3","3","3","2.9875","2.9875","2.9875","3.8698630136986303","3.8698630136986303","3.8698630136986303","2.925","2.925","2.925","3","3","3","3","3","3","2.925","2.925","2.925","2.975","2.975","2.975","3.9194630872483223","3.9194630872483223","3.9194630872483223","3","3","3"
"120","","","","","","","","","","","","","","","","3","3","3","2.9875","2.9875","2.9875","3.87248322147651","3.87248322147651","3.87248322147651","2.925","2.925","2.925","2.9875","2.9875","2.9875","3.0125","3.0125","3.0125","2.9375","2.9375","2.9375","2.9875","2.9875","2.9875","3.925675675675676","3.925675675675676","3.925675675675676","3","3","3"
"130","","","","","","","","","","","","","","","","3.0123456790123457","3.0123456790123457","3.0123456790123457","3","3","3","3.918918918918919","3.918918918918919","3.918918918918919","2.9875","2.9875","2.9875","3","3","3","3.0123456790123457","3.0123456790123457","3.0123456790123457","2.9125","2.9125","2.9125","2.975","2.975","2.975","3.9740259740259742","3.9740259740259742","3.9740259740259742","3","3","3"
"140","","","","","","","","","","","","","","","","3","3","3","3","3","3","3.8684210526315788","3.8684210526315788","3.8684210526315788","3","3","3","3","3","3","3","3","3","2.9875","2.9875","2.9875","2.975","2.975","2.975","3.981012658227848","3.981012658227848","3.981012658227848","3.0123456790123457","3.0123456790123457","3.0123456790123457"
"150","","","","","","","","","","","","","","","","3","3","3","2.9875","2.9875","2.9875","3.9367088607594938","3.9367088607594938","3.9367088607594938","2.9875","2.9875","2.9875","3","3","3","3","3","3","2.9875","2.9875","2.9875","2.975","2.975","2.975","3.9426751592356686","3.9426751592356686","3.9426751592356686","3.0246913580246915","3.0246913580246915","3.0246913580246915"
"160","","","","","","","","","","","","","","","","3","3","3","3","3","3","3.9808917197452227","3.9808917197452227","3.9808917197452227","3","3","3","2.9875","2.9875","2.9875","3","3","3","2.9875","2.9875","2.9875","2.9625","2.9625","2.9625","3.9685534591194966","3.9685534591194966","3.9685534591194966","3","3","3"
