"Step","2025-05-15_00-21-39_can_ft_flow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate","2025-05-15_00-21-39_can_ft_flow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate__MIN","2025-05-15_00-21-39_can_ft_flow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate__MAX","2025-05-15_00-21-18_can_ft_flow_mlp_img_ta4_td1_tdf1_seed3407 - eval/success rate","2025-05-15_00-21-18_can_ft_flow_mlp_img_ta4_td1_tdf1_seed3407 - eval/success rate__MIN","2025-05-15_00-21-18_can_ft_flow_mlp_img_ta4_td1_tdf1_seed3407 - eval/success rate__MAX","2025-05-14_16-22-20_can_ft_shortcut_mlp_ta4_td1_tdf1_seed3407 - eval/success rate","2025-05-14_16-22-20_can_ft_shortcut_mlp_ta4_td1_tdf1_seed3407 - eval/success rate__MIN","2025-05-14_16-22-20_can_ft_shortcut_mlp_ta4_td1_tdf1_seed3407 - eval/success rate__MAX","2025-05-04_00-11-57_can_ft_shortcut_mlp_ta4_td1_tdf1_seed0 - eval/success rate","2025-05-04_00-11-57_can_ft_shortcut_mlp_ta4_td1_tdf1_seed0 - eval/success rate__MIN","2025-05-04_00-11-57_can_ft_shortcut_mlp_ta4_td1_tdf1_seed0 - eval/success rate__MAX","2025-05-01_01-04-25_can_ft_shortcut_mlp_ta4_td1_tdf1_seed42 - eval/success rate","2025-05-01_01-04-25_can_ft_shortcut_mlp_ta4_td1_tdf1_seed42 - eval/success rate__MIN","2025-05-01_01-04-25_can_ft_shortcut_mlp_ta4_td1_tdf1_seed42 - eval/success rate__MAX","2025-04-26_00-05-56_can_ft_gaussian_mlp_img_ta4_0 - success rate - eval","2025-04-26_00-05-56_can_ft_gaussian_mlp_img_ta4_0 - success rate - eval__MIN","2025-04-26_00-05-56_can_ft_gaussian_mlp_img_ta4_0 - success rate - eval__MAX","2025-04-25_22-27-09_can_ft_gaussian_mlp_img_ta4_3407 - success rate - eval","2025-04-25_22-27-09_can_ft_gaussian_mlp_img_ta4_3407 - success rate - eval__MIN","2025-04-25_22-27-09_can_ft_gaussian_mlp_img_ta4_3407 - success rate - eval__MAX","21-30-15_can_ft_diffusion_mlp_img_ta4_td100_tdf5_3407 - eval/success rate","21-30-15_can_ft_diffusion_mlp_img_ta4_td100_tdf5_3407 - eval/success rate__MIN","21-30-15_can_ft_diffusion_mlp_img_ta4_td100_tdf5_3407 - eval/success rate__MAX","21-01-12_can_ft_diffusion_mlp_img_ta4_td100_tdf5_0 - eval/success rate","21-01-12_can_ft_diffusion_mlp_img_ta4_td100_tdf5_0 - eval/success rate__MIN","21-01-12_can_ft_diffusion_mlp_img_ta4_td100_tdf5_0 - eval/success rate__MAX","2025-04-15_11-23-02_can_ft_gaussian_mlp_img_ta4_42 - eval/success rate","2025-04-15_11-23-02_can_ft_gaussian_mlp_img_ta4_42 - eval/success rate__MIN","2025-04-15_11-23-02_can_ft_gaussian_mlp_img_ta4_42 - eval/success rate__MAX","2025-04-14_16-23-20_can_ft_flow_mlp_img_ta4_td1_tdf1_42 - eval/success rate","2025-04-14_16-23-20_can_ft_flow_mlp_img_ta4_td1_tdf1_42 - eval/success rate__MIN","2025-04-14_16-23-20_can_ft_flow_mlp_img_ta4_td1_tdf1_42 - eval/success rate__MAX","2025-04-13_11-54-02_can_ft_diffusion_mlp_img_ta4_td100_tdf5_42 - eval/success rate","2025-04-13_11-54-02_can_ft_diffusion_mlp_img_ta4_td100_tdf5_42 - eval/success rate__MIN","2025-04-13_11-54-02_can_ft_diffusion_mlp_img_ta4_td100_tdf5_42 - eval/success rate__MAX"
"0","0.595","0.595","0.595","0.625","0.625","0.625","0.595","0.595","0.595","0.565","0.565","0.565","0.575","0.575","0.575","0.575","0.575","0.575","0.575","0.575","0.575","0.715","0.715","0.715","0.685","0.685","0.685","0.51","0.51","0.51","0.55","0.55","0.55","0.64","0.64","0.64"
"10","0.82","0.82","0.82","0.83","0.83","0.83","0.745","0.745","0.745","0.765","0.765","0.765","0.76","0.76","0.76","0.75","0.75","0.75","0.795","0.795","0.795","0.87","0.87","0.87","0.875","0.875","0.875","0.75","0.75","0.75","0.81","0.81","0.81","0.865","0.865","0.865"
"20","0.93","0.93","0.93","0.9","0.9","0.9","0.825","0.825","0.825","0.86","0.86","0.86","0.78","0.78","0.78","0.805","0.805","0.805","0.73","0.73","0.73","0.895","0.895","0.895","0.955","0.955","0.955","0.855","0.855","0.855","0.94","0.94","0.94","0.94","0.94","0.94"
"30","0.97","0.97","0.97","0.93","0.93","0.93","0.895","0.895","0.895","0.88","0.88","0.88","0.875","0.875","0.875","0.84","0.84","0.84","0.835","0.835","0.835","0.935","0.935","0.935","0.97","0.97","0.97","0.915","0.915","0.915","0.96","0.96","0.96","0.945","0.945","0.945"
"40","0.975","0.975","0.975","0.975","0.975","0.975","0.93","0.93","0.93","0.875","0.875","0.875","0.925","0.925","0.925","0.945","0.945","0.945","0.865","0.865","0.865","0.965","0.965","0.965","0.975","0.975","0.975","0.9","0.9","0.9","0.99","0.99","0.99","0.965","0.965","0.965"
"50","0.96","0.96","0.96","0.995","0.995","0.995","0.965","0.965","0.965","0.895","0.895","0.895","0.95","0.95","0.95","0.91","0.91","0.91","0.955","0.955","0.955","0.995","0.995","0.995","0.98","0.98","0.98","0.95","0.95","0.95","0.95","0.95","0.95","0.995","0.995","0.995"
"60","0.97","0.97","0.97","0.99","0.99","0.99","0.95","0.95","0.95","0.945","0.945","0.945","0.975","0.975","0.975","0.96","0.96","0.96","0.945","0.945","0.945","0.99","0.99","0.99","0.985","0.985","0.985","0.9","0.9","0.9","0.98","0.98","0.98","0.975","0.975","0.975"
"70","0.97","0.97","0.97","0.995","0.995","0.995","0.975","0.975","0.975","0.95","0.95","0.95","0.965","0.965","0.965","0.97","0.97","0.97","0.94","0.94","0.94","0.995","0.995","0.995","0.97","0.97","0.97","0.9","0.9","0.9","0.985","0.985","0.985","0.975","0.975","0.975"
"80","0.995","0.995","0.995","0.99","0.99","0.99","0.99","0.99","0.99","0.995","0.995","0.995","0.975","0.975","0.975","0.91","0.91","0.91","0.975","0.975","0.975","0.99","0.99","0.99","0.98","0.98","0.98","0.95","0.95","0.95","0.985","0.985","0.985","1","1","1"
"90","0.99","0.99","0.99","0.97","0.97","0.97","0.985","0.985","0.985","0.975","0.975","0.975","0.98","0.98","0.98","0.96","0.96","0.96","0.985","0.985","0.985","0.985","0.985","0.985","0.995","0.995","0.995","0.945","0.945","0.945","0.965","0.965","0.965","0.995","0.995","0.995"
"100","0.99","0.99","0.99","0.99","0.99","0.99","0.98","0.98","0.98","0.98","0.98","0.98","0.975","0.975","0.975","0.855","0.855","0.855","0.955","0.955","0.955","1","1","1","0.99","0.99","0.99","0.99","0.99","0.99","0.985","0.985","0.985","0.99","0.99","0.99"
