"Step","2025-05-13_14-00-20_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed0 - eval/success rate","2025-05-13_14-00-20_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed0 - eval/success rate__MIN","2025-05-13_14-00-20_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed0 - eval/success rate__MAX","2025-05-10_13-04-44_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed3407 - eval/success rate","2025-05-10_13-04-44_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed3407 - eval/success rate__MIN","2025-05-10_13-04-44_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed3407 - eval/success rate__MAX","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate__MIN","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate__MAX","2025-05-04_14-00-20_square_ft_reflow_mlp_img_td4_td1_tdf1_seed0 - eval/success rate","2025-05-04_14-00-20_square_ft_reflow_mlp_img_td4_td1_tdf1_seed0 - eval/success rate__MIN","2025-05-04_14-00-20_square_ft_reflow_mlp_img_td4_td1_tdf1_seed0 - eval/success rate__MAX","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed3407 - eval/success rate","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed3407 - eval/success rate__MIN","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed3407 - eval/success rate__MAX","2025-05-04_02-06-42_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed42 - eval/success rate","2025-05-04_02-06-42_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed42 - eval/success rate__MIN","2025-05-04_02-06-42_square_ft_reflow_logitnormal_mlp_img_td4_td1_seed42 - eval/success rate__MAX","2025-05-03_17-58-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate","2025-05-03_17-58-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate__MIN","2025-05-03_17-58-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate__MAX","2025-04-23_03-00-22_square_ft_reflow_mlp_img_td4_td1_tdf1_seed3407 - eval/success rate","2025-04-23_03-00-22_square_ft_reflow_mlp_img_td4_td1_tdf1_seed3407 - eval/success rate__MIN","2025-04-23_03-00-22_square_ft_reflow_mlp_img_td4_td1_tdf1_seed3407 - eval/success rate__MAX","2025-04-16_10-51-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate","2025-04-16_10-51-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate__MIN","2025-04-16_10-51-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate__MAX"
"0","0.245","0.245","0.245","0.215","0.215","0.215","0.355","0.355","0.355","0.265","0.265","0.265","0.36","0.36","0.36","0.26","0.26","0.26","0.275","0.275","0.275","0.23","0.23","0.23","0.255","0.255","0.255"
"10","0.285","0.285","0.285","0.35","0.35","0.35","0.335","0.335","0.335","0.355","0.355","0.355","0.4","0.4","0.4","0.29","0.29","0.29","0.375","0.375","0.375","0.315","0.315","0.315","0.265","0.265","0.265"
"20","0.49","0.49","0.49","0.375","0.375","0.375","0.43","0.43","0.43","0.325","0.325","0.325","0.4","0.4","0.4","0.335","0.335","0.335","0.365","0.365","0.365","0.38","0.38","0.38","0.225","0.225","0.225"
"30","0.465","0.465","0.465","0.41","0.41","0.41","0.425","0.425","0.425","0.34","0.34","0.34","0.405","0.405","0.405","0.385","0.385","0.385","0.49","0.49","0.49","0.435","0.435","0.435","0.38","0.38","0.38"
"40","0.47","0.47","0.47","0.505","0.505","0.505","0.47","0.47","0.47","0.425","0.425","0.425","0.435","0.435","0.435","0.335","0.335","0.335","0.48","0.48","0.48","0.44","0.44","0.44","0.39","0.39","0.39"
"50","0.515","0.515","0.515","0.55","0.55","0.55","0.52","0.52","0.52","0.495","0.495","0.495","0.49","0.49","0.49","0.445","0.445","0.445","0.575","0.575","0.575","0.5","0.5","0.5","0.475","0.475","0.475"
"55","","","","","","","0.465","0.465","0.465","","","","","","","","","","","","","","","","","",""
"60","0.56","0.56","0.56","0.57","0.57","0.57","","","","0.49","0.49","0.49","0.555","0.555","0.555","0.455","0.455","0.455","0.6","0.6","0.6","0.45","0.45","0.45","0.515","0.515","0.515"
"61","","","","","","","0.485","0.485","0.485","","","","","","","","","","","","","","","","","",""
"70","0.555","0.555","0.555","0.555","0.555","0.555","","","","0.515","0.515","0.515","0.61","0.61","0.61","0.49","0.49","0.49","0.635","0.635","0.635","0.445","0.445","0.445","0.515","0.515","0.515"
"71","","","","","","","0.605","0.605","0.605","","","","","","","","","","","","","","","","","",""
"80","0.565","0.565","0.565","0.635","0.635","0.635","","","","0.55","0.55","0.55","0.625","0.625","0.625","0.56","0.56","0.56","0.615","0.615","0.615","0.53","0.53","0.53","0.495","0.495","0.495"
"81","","","","","","","0.555","0.555","0.555","","","","","","","","","","","","","","","","","",""
"90","0.555","0.555","0.555","0.63","0.63","0.63","","","","0.53","0.53","0.53","0.6","0.6","0.6","0.505","0.505","0.505","0.68","0.68","0.68","0.555","0.555","0.555","0.48","0.48","0.48"
"91","","","","","","","0.65","0.65","0.65","","","","","","","","","","","","","","","","","",""
"100","0.62","0.62","0.62","0.685","0.685","0.685","","","","0.55","0.55","0.55","0.67","0.67","0.67","0.585","0.585","0.585","0.645","0.645","0.645","0.63","0.63","0.63","0.52","0.52","0.52"
"101","","","","","","","0.62","0.62","0.62","","","","","","","","","","","","","","","","","",""
