"Step","2025-05-15_13-42-27_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed0 - eval/success rate","2025-05-15_13-42-27_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed0 - eval/success rate__MIN","2025-05-15_13-42-27_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed0 - eval/success rate__MAX","2025-05-15_05-45-54_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed3407 - eval/success rate","2025-05-15_05-45-54_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed3407 - eval/success rate__MIN","2025-05-15_05-45-54_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed3407 - eval/success rate__MAX","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate__MIN","2025-05-04_14-00-20_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed0 - eval/success rate__MAX","2025-05-05_04-37-30_square_ft_gaussian_mlp_img_ta4_3407 - success rate - eval","2025-05-05_04-37-30_square_ft_gaussian_mlp_img_ta4_3407 - success rate - eval__MIN","2025-05-05_04-37-30_square_ft_gaussian_mlp_img_ta4_3407 - success rate - eval__MAX","2025-05-04_16-39-38_square_ft_gaussian_mlp_img_ta4_0 - success rate - eval","2025-05-04_16-39-38_square_ft_gaussian_mlp_img_ta4_0 - success rate - eval__MIN","2025-05-04_16-39-38_square_ft_gaussian_mlp_img_ta4_0 - success rate - eval__MAX","2025-05-03_17-45-00_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed42 - eval/success rate","2025-05-03_17-45-00_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed42 - eval/success rate__MIN","2025-05-03_17-45-00_square_ft_shortcut_mlp_img_td4_td1_datascale_100_seed42 - eval/success rate__MAX","2025-04-30_00-19-09_square_ft_gaussian_mlp_img_ta4_42 - success rate - eval","2025-04-30_00-19-09_square_ft_gaussian_mlp_img_ta4_42 - success rate - eval__MIN","2025-04-30_00-19-09_square_ft_gaussian_mlp_img_ta4_42 - success rate - eval__MAX","2025-04-25_23-20-30_square_ft_diffusion_mlp_img_ta4_td100_tdf5_3407 - eval/success rate","2025-04-25_23-20-30_square_ft_diffusion_mlp_img_ta4_td100_tdf5_3407 - eval/success rate__MIN","2025-04-25_23-20-30_square_ft_diffusion_mlp_img_ta4_td100_tdf5_3407 - eval/success rate__MAX","2025-04-25_23-09-10_square_ft_diffusion_mlp_img_ta4_td100_tdf5_0 - eval/success rate","2025-04-25_23-09-10_square_ft_diffusion_mlp_img_ta4_td100_tdf5_0 - eval/success rate__MIN","2025-04-25_23-09-10_square_ft_diffusion_mlp_img_ta4_td100_tdf5_0 - eval/success rate__MAX","2025-04-25_22-54-55_square_ft_diffusion_mlp_img_ta4_td100_tdf5_42 - eval/success rate","2025-04-25_22-54-55_square_ft_diffusion_mlp_img_ta4_td100_tdf5_42 - eval/success rate__MIN","2025-04-25_22-54-55_square_ft_diffusion_mlp_img_ta4_td100_tdf5_42 - eval/success rate__MAX","2025-04-23_03-00-22_square_ft_reflow_mlp_img_td4_td1_tdf1_seed3407 - eval/success rate","2025-04-23_03-00-22_square_ft_reflow_mlp_img_td4_td1_tdf1_seed3407 - eval/success rate__MIN","2025-04-23_03-00-22_square_ft_reflow_mlp_img_td4_td1_tdf1_seed3407 - eval/success rate__MAX","2025-04-16_10-51-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate","2025-04-16_10-51-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate__MIN","2025-04-16_10-51-38_square_ft_reflow_mlp_img_ta4_td1_tdf1_seed42 - eval/success rate__MAX"
"0","","","","0.36","0.36","0.36","0.265","0.265","0.265","0.13","0.13","0.13","0.11","0.11","0.11","0.33","0.33","0.33","0.11","0.11","0.11","0.115","0.115","0.115","0.135","0.135","0.135","0.13","0.13","0.13","0.23","0.23","0.23","0.255","0.255","0.255"
"10","0.345","0.345","0.345","0.415","0.415","0.415","0.355","0.355","0.355","0.11","0.11","0.11","0.085","0.085","0.085","0.44","0.44","0.44","0.085","0.085","0.085","0.16","0.16","0.16","0.12","0.12","0.12","0.15","0.15","0.15","0.315","0.315","0.315","0.265","0.265","0.265"
"20","0.435","0.435","0.435","0.385","0.385","0.385","0.325","0.325","0.325","0.1","0.1","0.1","0.065","0.065","0.065","0.365","0.365","0.365","0.085","0.085","0.085","0.315","0.315","0.315","0.305","0.305","0.305","0.26","0.26","0.26","0.38","0.38","0.38","0.225","0.225","0.225"
"30","0.39","0.39","0.39","0.41","0.41","0.41","0.34","0.34","0.34","0.1","0.1","0.1","0.085","0.085","0.085","0.385","0.385","0.385","0.08","0.08","0.08","0.31","0.31","0.31","0.265","0.265","0.265","0.265","0.265","0.265","0.435","0.435","0.435","0.38","0.38","0.38"
"40","0.42","0.42","0.42","0.415","0.415","0.415","0.425","0.425","0.425","0.075","0.075","0.075","0.065","0.065","0.065","0.46","0.46","0.46","0.085","0.085","0.085","0.31","0.31","0.31","0.365","0.365","0.365","0.34","0.34","0.34","0.44","0.44","0.44","0.39","0.39","0.39"
"50","0.415","0.415","0.415","0.435","0.435","0.435","0.495","0.495","0.495","0.105","0.105","0.105","0.11","0.11","0.11","0.49","0.49","0.49","0.06","0.06","0.06","0.35","0.35","0.35","0.315","0.315","0.315","0.425","0.425","0.425","0.5","0.5","0.5","0.475","0.475","0.475"
"60","0.435","0.435","0.435","0.48","0.48","0.48","0.49","0.49","0.49","0.07","0.07","0.07","0.11","0.11","0.11","0.505","0.505","0.505","0.09","0.09","0.09","0.43","0.43","0.43","0.405","0.405","0.405","0.39","0.39","0.39","0.45","0.45","0.45","0.515","0.515","0.515"
"70","0.505","0.505","0.505","0.475","0.475","0.475","0.515","0.515","0.515","0.085","0.085","0.085","0.125","0.125","0.125","0.48","0.48","0.48","0.09","0.09","0.09","0.41","0.41","0.41","0.445","0.445","0.445","0.435","0.435","0.435","0.445","0.445","0.445","0.515","0.515","0.515"
"80","0.485","0.485","0.485","0.52","0.52","0.52","0.55","0.55","0.55","0.075","0.075","0.075","0.13","0.13","0.13","0.53","0.53","0.53","0.1","0.1","0.1","0.485","0.485","0.485","0.42","0.42","0.42","0.47","0.47","0.47","0.53","0.53","0.53","0.495","0.495","0.495"
"90","0.59","0.59","0.59","0.505","0.505","0.505","0.53","0.53","0.53","0.1","0.1","0.1","0.14","0.14","0.14","0.52","0.52","0.52","0.1","0.1","0.1","0.545","0.545","0.545","0.505","0.505","0.505","0.475","0.475","0.475","0.555","0.555","0.555","0.48","0.48","0.48"
"100","0.495","0.495","0.495","0.545","0.545","0.545","0.55","0.55","0.55","0.095","0.095","0.095","0.15","0.15","0.15","0.575","0.575","0.575","0.11","0.11","0.11","0.47","0.47","0.47","0.45","0.45","0.45","0.485","0.485","0.485","0.63","0.63","0.63","0.52","0.52","0.52"
"110","0.58","0.58","0.58","0.58","0.58","0.58","0.575","0.575","0.575","0.125","0.125","0.125","0.12","0.12","0.12","0.595","0.595","0.595","0.085","0.085","0.085","0.5","0.5","0.5","0.535","0.535","0.535","0.545","0.545","0.545","0.595","0.595","0.595","0.595","0.595","0.595"
"114","","","","","","","0.64","0.64","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","",""
