"Step","2025-05-10_05-59-09_transport_ft_shortcut_mlp_img_ta8_td4_tdf4_seed0 - eval/success rate","2025-05-10_05-59-09_transport_ft_shortcut_mlp_img_ta8_td4_tdf4_seed0 - eval/success rate__MIN","2025-05-10_05-59-09_transport_ft_shortcut_mlp_img_ta8_td4_tdf4_seed0 - eval/success rate__MAX","2025-05-10_10-46-17_transport_ft_shortcut_mlp_img_ta8_td4_tdf4_seed42 - eval/success rate","2025-05-10_10-46-17_transport_ft_shortcut_mlp_img_ta8_td4_tdf4_seed42 - eval/success rate__MIN","2025-05-10_10-46-17_transport_ft_shortcut_mlp_img_ta8_td4_tdf4_seed42 - eval/success rate__MAX","2025-05-09_16-53-21_transport_ft_shortcut_mlp_img_ta8_td4_tdf4_seed3407 - eval/success rate","2025-05-09_16-53-21_transport_ft_shortcut_mlp_img_ta8_td4_tdf4_seed3407 - eval/success rate__MIN","2025-05-09_16-53-21_transport_ft_shortcut_mlp_img_ta8_td4_tdf4_seed3407 - eval/success rate__MAX","08-24-50_transport_ft_gaussian_mlp_img_ta8_0 - success rate - eval","08-24-50_transport_ft_gaussian_mlp_img_ta8_0 - success rate - eval__MIN","08-24-50_transport_ft_gaussian_mlp_img_ta8_0 - success rate - eval__MAX","08-21-50_transport_ft_gaussian_mlp_img_ta8_3407 - success rate - eval","08-21-50_transport_ft_gaussian_mlp_img_ta8_3407 - success rate - eval__MIN","08-21-50_transport_ft_gaussian_mlp_img_ta8_3407 - success rate - eval__MAX","15-57-09_transport_ft_diffusion_mlp_img_ta8_td100_tdf5_3407 - success rate - eval","15-57-09_transport_ft_diffusion_mlp_img_ta8_td100_tdf5_3407 - success rate - eval__MIN","15-57-09_transport_ft_diffusion_mlp_img_ta8_td100_tdf5_3407 - success rate - eval__MAX","00-34-11_transport_ft_diffusion_mlp_img_ta8_td100_tdf5_0 - success rate - eval","00-34-11_transport_ft_diffusion_mlp_img_ta8_td100_tdf5_0 - success rate - eval__MIN","00-34-11_transport_ft_diffusion_mlp_img_ta8_td100_tdf5_0 - success rate - eval__MAX","00-42-47_transport_ft_gaussian_mlp_img_ta8_42 - success rate - eval","00-42-47_transport_ft_gaussian_mlp_img_ta8_42 - success rate - eval__MIN","00-42-47_transport_ft_gaussian_mlp_img_ta8_42 - success rate - eval__MAX","00-21-56_transport_ft_diffusion_mlp_img_ta8_td100_tdf5_42 - success rate - eval","00-21-56_transport_ft_diffusion_mlp_img_ta8_td100_tdf5_42 - success rate - eval__MIN","00-21-56_transport_ft_diffusion_mlp_img_ta8_td100_tdf5_42 - success rate - eval__MAX"
"0","0.27","0.27","0.27","0.305","0.305","0.305","0.33","0.33","0.33","0.005","0.005","0.005","0.005","0.005","0.005","0.28","0.28","0.28","0.33","0.33","0.33","0.005","0.005","0.005","0.295","0.295","0.295"
"10","0.45","0.45","0.45","0.36","0.36","0.36","0.335","0.335","0.335","0.01","0.01","0.01","0.005","0.005","0.005","0.42","0.42","0.42","0.37","0.37","0.37","0.015","0.015","0.015","0.385","0.385","0.385"
"20","0.395","0.395","0.395","0.39","0.39","0.39","0.405","0.405","0.405","0.015","0.015","0.015","0.005","0.005","0.005","0.5","0.5","0.5","0.535","0.535","0.535","0.005","0.005","0.005","0.47","0.47","0.47"
"30","0.315","0.315","0.315","0.7","0.7","0.7","0.355","0.355","0.355","0.01","0.01","0.01","0.01","0.01","0.01","0.56","0.56","0.56","0.505","0.505","0.505","0","0","0","0.505","0.505","0.505"
"40","0.495","0.495","0.495","0.56","0.56","0.56","0.535","0.535","0.535","0","0","0","0","0","0","0.75","0.75","0.75","0.605","0.605","0.605","0","0","0","0.58","0.58","0.58"
"50","0.755","0.755","0.755","0.655","0.655","0.655","0.47","0.47","0.47","0.01","0.01","0.01","0","0","0","0.815","0.815","0.815","0.745","0.745","0.745","0","0","0","0.76","0.76","0.76"
"60","0.655","0.655","0.655","0.745","0.745","0.745","0.66","0.66","0.66","0","0","0","0.01","0.01","0.01","0.88","0.88","0.88","0.815","0.815","0.815","0","0","0","0.7","0.7","0.7"
"70","0.805","0.805","0.805","0.85","0.85","0.85","0.675","0.675","0.675","0.005","0.005","0.005","0","0","0","0.87","0.87","0.87","0.865","0.865","0.865","0","0","0","0.845","0.845","0.845"
"80","0.765","0.765","0.765","0.77","0.77","0.77","0.685","0.685","0.685","0.015","0.015","0.015","0","0","0","0.91","0.91","0.91","0.875","0.875","0.875","0","0","0","0.82","0.82","0.82"
"90","0.81","0.81","0.81","0.81","0.81","0.81","0.71","0.71","0.71","0","0","0","0","0","0","0.895","0.895","0.895","0.925","0.925","0.925","0","0","0","0.795","0.795","0.795"
"100","0.85","0.85","0.85","0.87","0.87","0.87","0.825","0.825","0.825","0","0","0","0","0","0","0.885","0.885","0.885","0.95","0.95","0.95","0.005","0.005","0.005","0.81","0.81","0.81"
"110","0.865","0.865","0.865","0.83","0.83","0.83","0.755","0.755","0.755","0.005","0.005","0.005","0","0","0","0.895","0.895","0.895","0.89","0.89","0.89","0.005","0.005","0.005","0.825","0.825","0.825"
"120","0.865","0.865","0.865","0.745","0.745","0.745","0.775","0.775","0.775","0.0","0.0","0.0","0.0","0.0","0.0","0.85","0.85","0.85","0.875","0.875","0.875","0","0","0","0.865","0.865","0.865"
"130","0.835","0.835","0.835","0.675","0.675","0.675","0.795","0.795","0.795","0.0","0.0","0.0","0.0","0.0","0.0","0.855","0.855","0.855","0.84","0.84","0.84","0","0","0","0.84","0.84","0.84"
"140","0.855","0.855","0.855","0.84","0.84","0.84","0.81","0.81","0.81","0.0","0.0","0.0","0.0","0.0","0.0","0.795","0.795","0.795","0.815","0.815","0.815","0","0","0","0.835","0.835","0.835"
"150","0.865","0.865","0.865","0.925","0.925","0.925","0.825","0.825","0.825","0.0","0.0","0.0","0.0","0.0","0.0","0.835","0.835","0.835","0.79","0.79","0.79","0","0","0","0.85","0.85","0.85"
"160","0.86","0.86","0.86","0.9","0.9","0.9","0.825","0.825","0.825","0.0","0.0","0.0","0.0","0.0","0.0","0.815","0.815","0.815","0.82","0.82","0.82","0","0","0","0.88","0.88","0.88"
"170","0.845","0.845","0.845","0.895","0.895","0.895","0.865","0.865","0.865","0.0","0.0","0.0","0.0","0.0","0.0","0.745","0.745","0.745","0.81","0.81","0.81","0","0","0","0.875","0.875","0.875"
"180","0.895","0.895","0.895","0.93","0.93","0.93","0.865","0.865","0.865","0.0","0.0","0.0","0.0","0.0","0.0","0.77","0.77","0.77","0.735","0.735","0.735","0","0","0","0.9","0.9","0.9"
"190","0.865","0.865","0.865","0.915","0.915","0.915","0.885","0.885","0.885","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.77","0.77","0.77","0.005","0.005","0.005","0.81","0.81","0.81"
"200","0.925","0.925","0.925","0.91","0.91","0.91","0.825","0.825","0.825","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.75","0.75","0.75","0","0","0","0.84","0.84","0.84"
