"Step","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_11-20-29_ant-medium-expert-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_07-21-38_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward","2025-05-22_07-21-38_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_07-21-38_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_07-19-28_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward","2025-05-22_07-19-28_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_07-19-28_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_07-19-09_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward","2025-05-22_07-19-09_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_07-19-09_ant-medium-expert-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_07-17-04_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward","2025-05-22_07-17-04_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_07-17-04_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_07-16-54_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward","2025-05-22_07-16-54_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_07-16-54_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_07-16-31_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward","2025-05-22_07-16-31_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_07-16-31_ant-medium-expert-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-10_13-16-07_ant-medium-expert-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_13-16-07_ant-medium-expert-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_13-16-07_ant-medium-expert-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-10_13-16-06_ant-medium-expert-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_13-16-06_ant-medium-expert-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_13-16-06_ant-medium-expert-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","2025-05-09_11-54-21_ant-medium-expert-v2_fql_mlp_ta4_td4 - avg episode reward - eval","2025-05-09_11-54-21_ant-medium-expert-v2_fql_mlp_ta4_td4 - avg episode reward - eval__MIN","2025-05-09_11-54-21_ant-medium-expert-v2_fql_mlp_ta4_td4 - avg episode reward - eval__MAX"
"0","1240.3151714513515","1240.3151714513515","1240.3151714513515","1230.9905745226379","1230.9905745226379","1230.9905745226379","1220.2995257224463","1220.2995257224463","1220.2995257224463","1987.5449875708978","1987.5449875708978","1987.5449875708978","2181.5082063761474","2181.5082063761474","2181.5082063761474","2095.1265473665553","2095.1265473665553","2095.1265473665553","2932.768961760812","2932.768961760812","2932.768961760812","2936.436924219406","2936.436924219406","2936.436924219406","2732.146094988749","2732.146094988749","2732.146094988749","999.9582041121894","999.9582041121894","999.9582041121894","987.3098788129583","987.3098788129583","987.3098788129583","995.9981710123699","995.9981710123699","995.9981710123699"
"10","2647.6046643770496","2647.6046643770496","2647.6046643770496","2733.0410369486367","2733.0410369486367","2733.0410369486367","2203.3897522308694","2203.3897522308694","2203.3897522308694","3358.4704755710727","3358.4704755710727","3358.4704755710727","3077.993415488518","3077.993415488518","3077.993415488518","3165.396627581925","3165.396627581925","3165.396627581925","3518.4228055964486","3518.4228055964486","3518.4228055964486","3399.084438384675","3399.084438384675","3399.084438384675","3433.465879276652","3433.465879276652","3433.465879276652","","","","","","","","",""
"20","3162.3054484246436","3162.3054484246436","3162.3054484246436","3052.7445852466944","3052.7445852466944","3052.7445852466944","3209.605976040392","3209.605976040392","3209.605976040392","3393.0365150879284","3393.0365150879284","3393.0365150879284","3719.0344898651338","3719.0344898651338","3719.0344898651338","3621.339066552372","3621.339066552372","3621.339066552372","3458.5156094678473","3458.5156094678473","3458.5156094678473","3625.1566518350473","3625.1566518350473","3625.1566518350473","3755.891672638604","3755.891672638604","3755.891672638604","","","","","","","","",""
"30","3169.8372329606073","3169.8372329606073","3169.8372329606073","3397.2452917936707","3397.2452917936707","3397.2452917936707","3061.496111166981","3061.496111166981","3061.496111166981","3615.7219739077855","3615.7219739077855","3615.7219739077855","3671.8802508292224","3671.8802508292224","3671.8802508292224","3661.616848875896","3661.616848875896","3661.616848875896","3623.818114276918","3623.818114276918","3623.818114276918","3735.6704242435676","3735.6704242435676","3735.6704242435676","3730.6978587852705","3730.6978587852705","3730.6978587852705","","","","","","","","",""
"40","3260.432306076794","3260.432306076794","3260.432306076794","3446.7033236796474","3446.7033236796474","3446.7033236796474","3125.8309931910426","3125.8309931910426","3125.8309931910426","3630.53621403703","3630.53621403703","3630.53621403703","3630.5811164886554","3630.5811164886554","3630.5811164886554","3579.2909535587596","3579.2909535587596","3579.2909535587596","3743.7536905113498","3743.7536905113498","3743.7536905113498","3876.299778556305","3876.299778556305","3876.299778556305","3818.061953662783","3818.061953662783","3818.061953662783","","","","","","","","",""
"50","3324.500980658004","3324.500980658004","3324.500980658004","3677.476288827055","3677.476288827055","3677.476288827055","3371.2133218857953","3371.2133218857953","3371.2133218857953","3719.6327227639763","3719.6327227639763","3719.6327227639763","3672.8169917064333","3672.8169917064333","3672.8169917064333","3651.678164524413","3651.678164524413","3651.678164524413","3752.004482236023","3752.004482236023","3752.004482236023","3844.5607073545107","3844.5607073545107","3844.5607073545107","3743.4404915422033","3743.4404915422033","3743.4404915422033","","","","","","","","",""
"60","3540.2785381541426","3540.2785381541426","3540.2785381541426","3577.433121340831","3577.433121340831","3577.433121340831","3149.4125736602755","3149.4125736602755","3149.4125736602755","3548.1687686007513","3548.1687686007513","3548.1687686007513","3536.612105148923","3536.612105148923","3536.612105148923","3499.2720132723543","3499.2720132723543","3499.2720132723543","3726.7686770559494","3726.7686770559494","3726.7686770559494","3973.088982176955","3973.088982176955","3973.088982176955","3783.458814111109","3783.458814111109","3783.458814111109","","","","","","","","",""
"70","3617.7888250141636","3617.7888250141636","3617.7888250141636","3597.123630331902","3597.123630331902","3597.123630331902","3408.347383667904","3408.347383667904","3408.347383667904","3820.585087748045","3820.585087748045","3820.585087748045","3581.038025560978","3581.038025560978","3581.038025560978","3470.4169738152837","3470.4169738152837","3470.4169738152837","3811.8027059382634","3811.8027059382634","3811.8027059382634","3982.5799165999706","3982.5799165999706","3982.5799165999706","3772.667510716722","3772.667510716722","3772.667510716722","","","","","","","","",""
"80","3628.195489521016","3628.195489521016","3628.195489521016","3767.9944935202366","3767.9944935202366","3767.9944935202366","3671.2912685518995","3671.2912685518995","3671.2912685518995","3644.9412097953964","3644.9412097953964","3644.9412097953964","3527.7409385481355","3527.7409385481355","3527.7409385481355","3501.401473846997","3501.401473846997","3501.401473846997","3775.9286925038673","3775.9286925038673","3775.9286925038673","3996.172974135831","3996.172974135831","3996.172974135831","3729.296342278467","3729.296342278467","3729.296342278467","","","","","","","","",""
"90","3577.4775337729684","3577.4775337729684","3577.4775337729684","3738.476469947782","3738.476469947782","3738.476469947782","3506.892310196347","3506.892310196347","3506.892310196347","3754.0447399410796","3754.0447399410796","3754.0447399410796","3507.3192626310424","3507.3192626310424","3507.3192626310424","3593.7547307828268","3593.7547307828268","3593.7547307828268","3748.788877511627","3748.788877511627","3748.788877511627","3945.672344250737","3945.672344250737","3945.672344250737","3853.515525158016","3853.515525158016","3853.515525158016","","","","","","","","",""
