"Step","2025-05-10_13-16-07_ant-medium-expert-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_13-16-07_ant-medium-expert-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_13-16-07_ant-medium-expert-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-10_13-16-06_ant-medium-expert-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_13-16-06_ant-medium-expert-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_13-16-06_ant-medium-expert-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","2025-05-09_11-54-21_ant-medium-expert-v0_fql_mlp_ta4_td4 - avg episode reward - eval","2025-05-09_11-54-21_ant-medium-expert-v0_fql_mlp_ta4_td4 - avg episode reward - eval__MIN","2025-05-09_11-54-21_ant-medium-expert-v0_fql_mlp_ta4_td4 - avg episode reward - eval__MAX","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-01_14-00-20_ant-medium-expert-v0_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-04-20_20-30-25_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-04-20_20-30-25_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-04-20_20-30-25_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-04-20_20-30-16_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-04-20_20-30-16_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-04-20_20-30-16_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-04-20_10-14-30_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-04-20_10-14-30_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-04-20_10-14-30_ant-medium-expert-v0_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-04-02_10-49-55_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval","2025-04-02_10-49-55_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MIN","2025-04-02_10-49-55_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MAX","2025-04-02_10-49-52_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval","2025-04-02_10-49-52_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MIN","2025-04-02_10-49-52_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MAX","2025-03-29_20-57-49_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval","2025-03-29_20-57-49_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MIN","2025-03-29_20-57-49_ant-medium-expert-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MAX"
"0","999.9582041121894","999.9582041121894","999.9582041121894","987.3098788129583","987.3098788129583","987.3098788129583","995.9981710123699","995.9981710123699","995.9981710123699","859.4750023943612","859.4750023943612","859.4750023943612","908.6516735178051","908.6516735178051","908.6516735178051","1007.1429464795061","1007.1429464795061","1007.1429464795061","717.4415297388085","717.4415297388085","717.4415297388085","749.1347671083436","749.1347671083436","749.1347671083436","721.2078893987658","721.2078893987658","721.2078893987658","662.6492461871306","662.6492461871306","662.6492461871306","691.6488028417094","691.6488028417094","691.6488028417094","693.244795462135","693.244795462135","693.244795462135"
"10","","","","","","","","","","1110.5792063798167","1110.5792063798167","1110.5792063798167","681.5499021235123","681.5499021235123","681.5499021235123","994.5501759239085","994.5501759239085","994.5501759239085","604.3710028561513","604.3710028561513","604.3710028561513","524.3421834025526","524.3421834025526","524.3421834025526","842.0332682823584","842.0332682823584","842.0332682823584","1029.0312148589387","1029.0312148589387","1029.0312148589387","998.5618851349778","998.5618851349778","998.5618851349778","969.0248405770644","969.0248405770644","969.0248405770644"
"20","","","","","","","","","","1728.6608034273481","1728.6608034273481","1728.6608034273481","1312.3716912139116","1312.3716912139116","1312.3716912139116","1255.567527806578","1255.567527806578","1255.567527806578","1164.9339329983939","1164.9339329983939","1164.9339329983939","1228.8981677336972","1228.8981677336972","1228.8981677336972","1377.4399402698239","1377.4399402698239","1377.4399402698239","1436.791456666962","1436.791456666962","1436.791456666962","1673.0999639259792","1673.0999639259792","1673.0999639259792","1319.8336862147262","1319.8336862147262","1319.8336862147262"
"30","","","","","","","","","","1882.9394662355157","1882.9394662355157","1882.9394662355157","1715.7304208747382","1715.7304208747382","1715.7304208747382","1558.2115695763823","1558.2115695763823","1558.2115695763823","1855.1070151549902","1855.1070151549902","1855.1070151549902","1665.4610315526202","1665.4610315526202","1665.4610315526202","1856.8918841887291","1856.8918841887291","1856.8918841887291","1773.8288631999485","1773.8288631999485","1773.8288631999485","1645.292363192031","1645.292363192031","1645.292363192031","1750.4704619269075","1750.4704619269075","1750.4704619269075"
"40","","","","","","","","","","1961.2620292552504","1961.2620292552504","1961.2620292552504","1780.1651635573617","1780.1651635573617","1780.1651635573617","2009.9059217470306","2009.9059217470306","2009.9059217470306","1921.3475499279348","1921.3475499279348","1921.3475499279348","1960.7740976330342","1960.7740976330342","1960.7740976330342","1845.216171253135","1845.216171253135","1845.216171253135","1868.2141116816113","1868.2141116816113","1868.2141116816113","2123.431398194575","2123.431398194575","2123.431398194575","1756.6833062050653","1756.6833062050653","1756.6833062050653"
"50","","","","","","","","","","2218.328418403859","2218.328418403859","2218.328418403859","2002.0531758668592","2002.0531758668592","2002.0531758668592","2065.2949873539587","2065.2949873539587","2065.2949873539587","2328.542573754998","2328.542573754998","2328.542573754998","2343.4932227352724","2343.4932227352724","2343.4932227352724","2272.38707664905","2272.38707664905","2272.38707664905","1960.3572293473815","1960.3572293473815","1960.3572293473815","2116.657070453658","2116.657070453658","2116.657070453658","2127.651020674251","2127.651020674251","2127.651020674251"
"60","","","","","","","","","","2405.005830760286","2405.005830760286","2405.005830760286","2187.674788820245","2187.674788820245","2187.674788820245","2142.2359841644925","2142.2359841644925","2142.2359841644925","2321.297169518902","2321.297169518902","2321.297169518902","2479.1160533551074","2479.1160533551074","2479.1160533551074","2145.723640270963","2145.723640270963","2145.723640270963","2280.7084985744805","2280.7084985744805","2280.7084985744805","2427.028648052636","2427.028648052636","2427.028648052636","2128.299063333423","2128.299063333423","2128.299063333423"
"70","","","","","","","","","","2498.6198655878998","2498.6198655878998","2498.6198655878998","2265.386397471492","2265.386397471492","2265.386397471492","2203.4293172160405","2203.4293172160405","2203.4293172160405","2604.3583689689117","2604.3583689689117","2604.3583689689117","2578.8297836172496","2578.8297836172496","2578.8297836172496","2175.5644620734747","2175.5644620734747","2175.5644620734747","2268.6933527300725","2268.6933527300725","2268.6933527300725","2277.077006155297","2277.077006155297","2277.077006155297","2449.27418241388","2449.27418241388","2449.27418241388"
"80","","","","","","","","","","2688.668265478192","2688.668265478192","2688.668265478192","2197.3086766776782","2197.3086766776782","2197.3086766776782","2432.53498230262","2432.53498230262","2432.53498230262","2577.361817269188","2577.361817269188","2577.361817269188","2619.1324599175873","2619.1324599175873","2619.1324599175873","2480.671296985711","2480.671296985711","2480.671296985711","2379.6079696587267","2379.6079696587267","2379.6079696587267","2296.7687849262543","2296.7687849262543","2296.7687849262543","2383.586254636251","2383.586254636251","2383.586254636251"
"90","","","","","","","","","","2687.356043543897","2687.356043543897","2687.356043543897","2516.2177014208382","2516.2177014208382","2516.2177014208382","2409.0509240869956","2409.0509240869956","2409.0509240869956","2624.1299035669676","2624.1299035669676","2624.1299035669676","2762.5195153933805","2762.5195153933805","2762.5195153933805","2438.5833274721294","2438.5833274721294","2438.5833274721294","2544.8063657597263","2544.8063657597263","2544.8063657597263","2599.6728688978087","2599.6728688978087","2599.6728688978087","2519.1247455918833","2519.1247455918833","2519.1247455918833"
