"Step","2025-05-22_13-48-44_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward","2025-05-22_13-48-44_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_13-48-44_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_13-48-44_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward","2025-05-22_13-48-44_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_13-48-44_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_13-48-44_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward","2025-05-22_13-48-44_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_13-48-44_hopper-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_11-40-47_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward","2025-05-22_11-40-47_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_11-40-47_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_11-40-48_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward","2025-05-22_11-40-48_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_11-40-48_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_11-40-46_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward","2025-05-22_11-40-46_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_11-40-46_hopper-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_11-40-47_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward","2025-05-22_11-40-47_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_11-40-47_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_11-40-47_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward","2025-05-22_11-40-47_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_11-40-47_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_11-40-46_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward","2025-05-22_11-40-46_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_11-40-46_hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_13-16-06_hopper-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-09_11-54-21_hopper-medium-v2_fql_mlp_ta4_td4_seed42 - avg episode reward - eval","2025-05-09_11-54-21_hopper-medium-v2_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MIN","2025-05-09_11-54-21_hopper-medium-v2_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MAX"
"0","1539.911587221795","1539.911587221795","1539.911587221795","1507.2818571419189","1507.2818571419189","1507.2818571419189","1537.8190255742343","1537.8190255742343","1537.8190255742343","1405.4223120226352","1405.4223120226352","1405.4223120226352","1420.1328709437494","1420.1328709437494","1420.1328709437494","1469.8558513428825","1469.8558513428825","1469.8558513428825","1413.6973782325954","1413.6973782325954","1413.6973782325954","1387.5674262104196","1387.5674262104196","1387.5674262104196","1437.4008251822836","1437.4008251822836","1437.4008251822836","57.069579331341245","57.069579331341245","57.069579331341245","54.677357697038076","54.677357697038076","54.677357697038076","84.99519004496167","84.99519004496167","84.99519004496167"
"10","1480.0622485181377","1480.0622485181377","1480.0622485181377","1491.9726251355808","1491.9726251355808","1491.9726251355808","1614.264610776235","1614.264610776235","1614.264610776235","2239.52008693704","2239.52008693704","2239.52008693704","1763.4498218224603","1763.4498218224603","1763.4498218224603","1816.703250462777","1816.703250462777","1816.703250462777","1661.871202801756","1661.871202801756","1661.871202801756","1689.3501112362896","1689.3501112362896","1689.3501112362896","1652.195266064646","1652.195266064646","1652.195266064646","","","","","","","","",""
"20","2948.0915338514474","2948.0915338514474","2948.0915338514474","2990.744813615295","2990.744813615295","2990.744813615295","2924.395088099078","2924.395088099078","2924.395088099078","2647.0992560879704","2647.0992560879704","2647.0992560879704","2707.3601255089816","2707.3601255089816","2707.3601255089816","2735.481527923212","2735.481527923212","2735.481527923212","2328.119451715645","2328.119451715645","2328.119451715645","2560.982493814082","2560.982493814082","2560.982493814082","2210.9107721850205","2210.9107721850205","2210.9107721850205","","","","","","","","",""
"30","2722.7384100949466","2722.7384100949466","2722.7384100949466","2677.4396083290508","2677.4396083290508","2677.4396083290508","2708.9625438680328","2708.9625438680328","2708.9625438680328","2591.5487333786855","2591.5487333786855","2591.5487333786855","2510.4034591472932","2510.4034591472932","2510.4034591472932","2507.545133138267","2507.545133138267","2507.545133138267","2813.151028343978","2813.151028343978","2813.151028343978","2863.826927955584","2863.826927955584","2863.826927955584","2904.6243517376533","2904.6243517376533","2904.6243517376533","","","","","","","","",""
"40","2719.5259114965643","2719.5259114965643","2719.5259114965643","2613.4979285292484","2613.4979285292484","2613.4979285292484","2723.1773580757645","2723.1773580757645","2723.1773580757645","2414.3290636506927","2414.3290636506927","2414.3290636506927","2408.65426377936","2408.65426377936","2408.65426377936","2469.85685397808","2469.85685397808","2469.85685397808","2777.088169588271","2777.088169588271","2777.088169588271","2893.200691627846","2893.200691627846","2893.200691627846","2894.1520271938316","2894.1520271938316","2894.1520271938316","","","","","","","","",""
"50","2714.7833134540197","2714.7833134540197","2714.7833134540197","2604.1797269320587","2604.1797269320587","2604.1797269320587","2835.5638659385268","2835.5638659385268","2835.5638659385268","2555.3792641864434","2555.3792641864434","2555.3792641864434","2456.84580885402","2456.84580885402","2456.84580885402","2446.77532125326","2446.77532125326","2446.77532125326","2745.41578916018","2745.41578916018","2745.41578916018","2780.546617629338","2780.546617629338","2780.546617629338","2782.6969837741085","2782.6969837741085","2782.6969837741085","","","","","","","","",""
"60","2650.0890554593934","2650.0890554593934","2650.0890554593934","2706.2807329143843","2706.2807329143843","2706.2807329143843","2711.5591304568866","2711.5591304568866","2711.5591304568866","2441.9153785736103","2441.9153785736103","2441.9153785736103","2402.973561482731","2402.973561482731","2402.973561482731","2394.2050037944623","2394.2050037944623","2394.2050037944623","2708.8565943945746","2708.8565943945746","2708.8565943945746","2780.84775421215","2780.84775421215","2780.84775421215","2719.2933639684647","2719.2933639684647","2719.2933639684647","","","","","","","","",""
"70","2692.100624396636","2692.100624396636","2692.100624396636","2620.8713227130115","2620.8713227130115","2620.8713227130115","2619.2098524259554","2619.2098524259554","2619.2098524259554","2342.4633988357696","2342.4633988357696","2342.4633988357696","2421.7690245603403","2421.7690245603403","2421.7690245603403","2402.7277943627714","2402.7277943627714","2402.7277943627714","2499.110725565669","2499.110725565669","2499.110725565669","2745.4340531660373","2745.4340531660373","2745.4340531660373","2770.3058779362764","2770.3058779362764","2770.3058779362764","","","","","","","","",""
"80","2715.9924630683845","2715.9924630683845","2715.9924630683845","2508.8947937397543","2508.8947937397543","2508.8947937397543","2651.2515247409738","2651.2515247409738","2651.2515247409738","2419.3395500895313","2419.3395500895313","2419.3395500895313","2531.6673877472967","2531.6673877472967","2531.6673877472967","2215.6482441794396","2215.6482441794396","2215.6482441794396","2622.561608648146","2622.561608648146","2622.561608648146","2759.511734288335","2759.511734288335","2759.511734288335","2732.283784809193","2732.283784809193","2732.283784809193","","","","","","","","",""
"90","2670.7216496779197","2670.7216496779197","2670.7216496779197","2623.4797851160824","2623.4797851160824","2623.4797851160824","2642.333989819467","2642.333989819467","2642.333989819467","2603.251105754216","2603.251105754216","2603.251105754216","2519.952269979151","2519.952269979151","2519.952269979151","2441.1382346852633","2441.1382346852633","2441.1382346852633","2705.349829163267","2705.349829163267","2705.349829163267","2682.4999984018423","2682.4999984018423","2682.4999984018423","2724.8583155100487","2724.8583155100487","2724.8583155100487","","","","","","","","",""
"100","2646.7954102093545","2646.7954102093545","2646.7954102093545","2636.3566111990485","2636.3566111990485","2636.3566111990485","2704.6131172503615","2704.6131172503615","2704.6131172503615","2450.784196072652","2450.784196072652","2450.784196072652","2571.471170933952","2571.471170933952","2571.471170933952","2496.188328762505","2496.188328762505","2496.188328762505","2561.568469398687","2561.568469398687","2561.568469398687","2669.817375061669","2669.817375061669","2669.817375061669","2660.817017741444","2660.817017741444","2660.817017741444","","","","","","","","",""
"110","2701.4412612905626","2701.4412612905626","2701.4412612905626","2620.602671766434","2620.602671766434","2620.602671766434","2750.89658241543","2750.89658241543","2750.89658241543","2540.7253551195777","2540.7253551195777","2540.7253551195777","2533.4614407738386","2533.4614407738386","2533.4614407738386","2464.858697610348","2464.858697610348","2464.858697610348","2534.62668520378","2534.62668520378","2534.62668520378","2477.9297844243915","2477.9297844243915","2477.9297844243915","2667.8045915559924","2667.8045915559924","2667.8045915559924","","","","","","","","",""
