"Step","2025-05-22_13-53-36_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward","2025-05-22_13-53-36_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_13-53-36_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_13-53-37_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward","2025-05-22_13-53-37_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_13-53-37_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_13-53-36_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward","2025-05-22_13-53-36_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_13-53-36_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_05-20-23_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_05-16-38_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward","2025-05-22_05-16-38_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_05-16-38_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_05-16-26_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward","2025-05-22_05-16-26_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_05-16-26_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_05-16-09_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward","2025-05-22_05-16-09_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_05-16-09_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed42 - avg episode reward - eval","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed42 - avg episode reward - eval__MIN","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed42 - avg episode reward - eval__MAX","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed3407 - avg episode reward - eval","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed3407 - avg episode reward - eval__MIN","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed3407 - avg episode reward - eval__MAX","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed0 - avg episode reward - eval","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed0 - avg episode reward - eval__MIN","2025-05-10_20-54-05_Humanoid-medium-v3_fql_mlp_ta4_seed0 - avg episode reward - eval__MAX"
"0","2011.4480170731042","2011.4480170731042","2011.4480170731042","2263.1725211697294","2263.1725211697294","2263.1725211697294","2091.4744507474034","2091.4744507474034","2091.4744507474034","1893.4571204197855","1893.4571204197855","1893.4571204197855","1984.9765268164201","1984.9765268164201","1984.9765268164201","1900.993360785742","1900.993360785742","1900.993360785742","1998.2584591230745","1998.2584591230745","1998.2584591230745","2085.3441422666483","2085.3441422666483","2085.3441422666483","2066.819779293831","2066.819779293831","2066.819779293831","176.91806362286107","176.91806362286107","176.91806362286107","147.8617009534802","147.8617009534802","147.8617009534802","234.55195897818962","234.55195897818962","234.55195897818962"
"10","2361.865350161619","2361.865350161619","2361.865350161619","1538.6224217243866","1538.6224217243866","1538.6224217243866","1578.2677719784251","1578.2677719784251","1578.2677719784251","1940.9917997356968","1940.9917997356968","1940.9917997356968","2226.113175531398","2226.113175531398","2226.113175531398","3002.62413503499","3002.62413503499","3002.62413503499","3023.968465971547","3023.968465971547","3023.968465971547","2591.740466118857","2591.740466118857","2591.740466118857","2650.4445730011653","2650.4445730011653","2650.4445730011653","","","","","","","","",""
"20","3162.7755595243048","3162.7755595243048","3162.7755595243048","2246.29151094667","2246.29151094667","2246.29151094667","2302.960846697291","2302.960846697291","2302.960846697291","3062.933709933265","3062.933709933265","3062.933709933265","3297.99351209989","3297.99351209989","3297.99351209989","3745.830789667588","3745.830789667588","3745.830789667588","3922.320182034559","3922.320182034559","3922.320182034559","3766.2045592056083","3766.2045592056083","3766.2045592056083","4027.8342070216218","4027.8342070216218","4027.8342070216218","","","","","","","","",""
"30","3754.920818097993","3754.920818097993","3754.920818097993","3346.9639507137194","3346.9639507137194","3346.9639507137194","3258.2983952337736","3258.2983952337736","3258.2983952337736","3674.230515295304","3674.230515295304","3674.230515295304","3799.09763173025","3799.09763173025","3799.09763173025","3979.471604857224","3979.471604857224","3979.471604857224","4476.204333647707","4476.204333647707","4476.204333647707","4378.736692586119","4378.736692586119","4378.736692586119","4347.520676860776","4347.520676860776","4347.520676860776","","","","","","","","",""
"40","3924.7632796405114","3924.7632796405114","3924.7632796405114","3652.271919441823","3652.271919441823","3652.271919441823","3683.383442206734","3683.383442206734","3683.383442206734","4214.047155783177","4214.047155783177","4214.047155783177","4120.200557406503","4120.200557406503","4120.200557406503","4704.9535773345315","4704.9535773345315","4704.9535773345315","4942.7383461645195","4942.7383461645195","4942.7383461645195","4386.676116624782","4386.676116624782","4386.676116624782","4603.750068360144","4603.750068360144","4603.750068360144","","","","","","","","",""
"50","4630.583152801203","4630.583152801203","4630.583152801203","4456.388022728879","4456.388022728879","4456.388022728879","4396.014238604107","4396.014238604107","4396.014238604107","4807.401906456319","4807.401906456319","4807.401906456319","4634.509766309064","4634.509766309064","4634.509766309064","4792.951249780539","4792.951249780539","4792.951249780539","4831.957839349669","4831.957839349669","4831.957839349669","4711.598674616811","4711.598674616811","4711.598674616811","4852.114371230204","4852.114371230204","4852.114371230204","","","","","","","","",""
"60","4263.146165286734","4263.146165286734","4263.146165286734","4521.104994665072","4521.104994665072","4521.104994665072","4408.770346704559","4408.770346704559","4408.770346704559","4660.827929512688","4660.827929512688","4660.827929512688","4748.28756381708","4748.28756381708","4748.28756381708","4589.084400579198","4589.084400579198","4589.084400579198","5012.283658116593","5012.283658116593","5012.283658116593","4807.060605371907","4807.060605371907","4807.060605371907","4830.676467621057","4830.676467621057","4830.676467621057","","","","","","","","",""
"70","4483.386655535294","4483.386655535294","4483.386655535294","4939.172041972761","4939.172041972761","4939.172041972761","4627.590314158285","4627.590314158285","4627.590314158285","5031.98943749682","5031.98943749682","5031.98943749682","4945.536865439968","4945.536865439968","4945.536865439968","4925.537176029984","4925.537176029984","4925.537176029984","4781.690481298229","4781.690481298229","4781.690481298229","4769.110198591755","4769.110198591755","4769.110198591755","4566.6142962645345","4566.6142962645345","4566.6142962645345","","","","","","","","",""
"80","4533.950165378934","4533.950165378934","4533.950165378934","4911.724601886609","4911.724601886609","4911.724601886609","4146.727353347882","4146.727353347882","4146.727353347882","4940.120775604026","4940.120775604026","4940.120775604026","4847.266825350497","4847.266825350497","4847.266825350497","5007.627879086494","5007.627879086494","5007.627879086494","4918.312323429879","4918.312323429879","4918.312323429879","4888.65320128805","4888.65320128805","4888.65320128805","5034.981655308681","5034.981655308681","5034.981655308681","","","","","","","","",""
"90","4735.585314049575","4735.585314049575","4735.585314049575","4657.493243062176","4657.493243062176","4657.493243062176","4249.69036685201","4249.69036685201","4249.69036685201","5097.100854646182","5097.100854646182","5097.100854646182","4954.497756386266","4954.497756386266","4954.497756386266","4951.217820889203","4951.217820889203","4951.217820889203","5033.238782377023","5033.238782377023","5033.238782377023","5032.794417851951","5032.794417851951","5032.794417851951","4968.38630358702","4968.38630358702","4968.38630358702","","","","","","","","",""
"100","4922.595834334601","4922.595834334601","4922.595834334601","4709.00522753087","4709.00522753087","4709.00522753087","4318.099189955506","4318.099189955506","4318.099189955506","5063.914985113638","5063.914985113638","5063.914985113638","4810.075319370182","4810.075319370182","4810.075319370182","4900.972730275248","4900.972730275248","4900.972730275248","4930.447972415039","4930.447972415039","4930.447972415039","5038.637402479022","5038.637402479022","5038.637402479022","4972.8032439347835","4972.8032439347835","4972.8032439347835","","","","","","","","",""
"110","4865.217968268881","4865.217968268881","4865.217968268881","4709.206291291721","4709.206291291721","4709.206291291721","4292.341472049832","4292.341472049832","4292.341472049832","5147.195097918746","5147.195097918746","5147.195097918746","5056.290119876305","5056.290119876305","5056.290119876305","4797.531569043234","4797.531569043234","4797.531569043234","4962.515756807988","4962.515756807988","4962.515756807988","4832.40243984558","4832.40243984558","4832.40243984558","5118.909771788906","5118.909771788906","5118.909771788906","","","","","","","","",""
"120","4977.389282327769","4977.389282327769","4977.389282327769","4799.967958538053","4799.967958538053","4799.967958538053","4351.915561021424","4351.915561021424","4351.915561021424","5001.865009436244","5001.865009436244","5001.865009436244","4981.231198564712","4981.231198564712","4981.231198564712","5164.267224416614","5164.267224416614","5164.267224416614","4936.2954527118245","4936.2954527118245","4936.2954527118245","4889.3362777875045","4889.3362777875045","4889.3362777875045","5073.272057907388","5073.272057907388","5073.272057907388","","","","","","","","",""
"130","5208.833770175718","5208.833770175718","5208.833770175718","4823.063556890471","4823.063556890471","4823.063556890471","4528.247489119375","4528.247489119375","4528.247489119375","5037.9008889906645","5037.9008889906645","5037.9008889906645","4981.892044382233","4981.892044382233","4981.892044382233","5115.714053685383","5115.714053685383","5115.714053685383","5122.833674431256","5122.833674431256","5122.833674431256","5125.871068022025","5125.871068022025","5125.871068022025","5045.966707307272","5045.966707307272","5045.966707307272","","","","","","","","",""
"140","4934.15939435237","4934.15939435237","4934.15939435237","4771.620143504589","4771.620143504589","4771.620143504589","4685.464584413152","4685.464584413152","4685.464584413152","4995.621436286879","4995.621436286879","4995.621436286879","5131.305431792885","5131.305431792885","5131.305431792885","4882.0484300787875","4882.0484300787875","4882.0484300787875","4864.004598586729","4864.004598586729","4864.004598586729","5017.001781126824","5017.001781126824","5017.001781126824","4975.198683912995","4975.198683912995","4975.198683912995","","","","","","","","",""
