"Step","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-13_11-29-11_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.01_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-13_00-40-29_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-13_00-40-29_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-13_00-40-29_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-13_00-40-29_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-13_00-40-29_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-13_00-40-29_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-13_00-40-30_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-13_00-40-30_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-13_00-40-30_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc0.1_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-13_00-32-46_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-13_00-32-46_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-13_00-32-46_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-13_00-32-45_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-13_00-32-45_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-13_00-32-45_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-13_00-32-46_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-13_00-32-46_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-13_00-32-46_Humanoid-medium-v3_ppo_reflow_Wdiv_regularize_bc1.0_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX"
"0","1740.7787243693128","1740.7787243693128","1740.7787243693128","1635.7858426155037","1635.7858426155037","1635.7858426155037","1656.1194231214777","1656.1194231214777","1656.1194231214777","1759.8187956277723","1759.8187956277723","1759.8187956277723","1697.1719168530503","1697.1719168530503","1697.1719168530503","1714.018811507535","1714.018811507535","1714.018811507535","1791.3197734728985","1791.3197734728985","1791.3197734728985","1688.9908268768088","1688.9908268768088","1688.9908268768088","1761.6065242687512","1761.6065242687512","1761.6065242687512","1759.5996939904144","1759.5996939904144","1759.5996939904144","1797.1775107948642","1797.1775107948642","1797.1775107948642","1712.7153614722224","1712.7153614722224","1712.7153614722224"
"10","2168.669574524211","2168.669574524211","2168.669574524211","1918.2644724582292","1918.2644724582292","1918.2644724582292","1946.5450438878477","1946.5450438878477","1946.5450438878477","2138.0280980871134","2138.0280980871134","2138.0280980871134","2029.1567082091992","2029.1567082091992","2029.1567082091992","2179.4762460630354","2179.4762460630354","2179.4762460630354","1954.496071069369","1954.496071069369","1954.496071069369","1832.9563115759001","1832.9563115759001","1832.9563115759001","1802.6058865812877","1802.6058865812877","1802.6058865812877","2104.4082320900707","2104.4082320900707","2104.4082320900707","2125.6946619987875","2125.6946619987875","2125.6946619987875","1820.3974839698128","1820.3974839698128","1820.3974839698128"
"20","2535.8971386534763","2535.8971386534763","2535.8971386534763","2850.816115554521","2850.816115554521","2850.816115554521","2698.6408733739204","2698.6408733739204","2698.6408733739204","2215.029957450234","2215.029957450234","2215.029957450234","2518.7168363859946","2518.7168363859946","2518.7168363859946","2400.117230500411","2400.117230500411","2400.117230500411","2011.6059187404824","2011.6059187404824","2011.6059187404824","1982.510032222593","1982.510032222593","1982.510032222593","1922.8576752248205","1922.8576752248205","1922.8576752248205","2910.216901688275","2910.216901688275","2910.216901688275","2894.7134123046444","2894.7134123046444","2894.7134123046444","2737.7652894704074","2737.7652894704074","2737.7652894704074"
"30","3165.3731404405426","3165.3731404405426","3165.3731404405426","3462.2380589248573","3462.2380589248573","3462.2380589248573","3326.9868277758487","3326.9868277758487","3326.9868277758487","2664.0709127208365","2664.0709127208365","2664.0709127208365","2797.4021358039245","2797.4021358039245","2797.4021358039245","2652.4106718800085","2652.4106718800085","2652.4106718800085","2074.4682380019135","2074.4682380019135","2074.4682380019135","1855.5923347329442","1855.5923347329442","1855.5923347329442","2027.5019241008347","2027.5019241008347","2027.5019241008347","3968.6457385248013","3968.6457385248013","3968.6457385248013","3914.8732905147854","3914.8732905147854","3914.8732905147854","3816.554987069364","3816.554987069364","3816.554987069364"
"40","4012.025824672421","4012.025824672421","4012.025824672421","4131.09649381192","4131.09649381192","4131.09649381192","3639.542161538484","3639.542161538484","3639.542161538484","2738.730700258714","2738.730700258714","2738.730700258714","2990.0189184208302","2990.0189184208302","2990.0189184208302","2862.8412788005653","2862.8412788005653","2862.8412788005653","1915.5786543021547","1915.5786543021547","1915.5786543021547","2114.3063448143603","2114.3063448143603","2114.3063448143603","2058.231263995256","2058.231263995256","2058.231263995256","4301.4378357789265","4301.4378357789265","4301.4378357789265","4482.942751203791","4482.942751203791","4482.942751203791","4630.497174008941","4630.497174008941","4630.497174008941"
"50","4008.7053780277442","4008.7053780277442","4008.7053780277442","4443.895610482057","4443.895610482057","4443.895610482057","3956.7322937242047","3956.7322937242047","3956.7322937242047","3143.898414221286","3143.898414221286","3143.898414221286","3360.936135891559","3360.936135891559","3360.936135891559","3053.0722614409824","3053.0722614409824","3053.0722614409824","2315.089784150785","2315.089784150785","2315.089784150785","2012.5278230454353","2012.5278230454353","2012.5278230454353","2310.201711340386","2310.201711340386","2310.201711340386","4925.208057918854","4925.208057918854","4925.208057918854","4600.519483237386","4600.519483237386","4600.519483237386","4784.681864578063","4784.681864578063","4784.681864578063"
"60","4336.1545652286295","4336.1545652286295","4336.1545652286295","4258.913440363578","4258.913440363578","4258.913440363578","3838.711024021318","3838.711024021318","3838.711024021318","2826.851156427278","2826.851156427278","2826.851156427278","3173.1293738659606","3173.1293738659606","3173.1293738659606","2937.430955304599","2937.430955304599","2937.430955304599","2218.4537375048512","2218.4537375048512","2218.4537375048512","2018.2796950012157","2018.2796950012157","2018.2796950012157","2218.6358149579655","2218.6358149579655","2218.6358149579655","5076.796530944848","5076.796530944848","5076.796530944848","4824.287710694167","4824.287710694167","4824.287710694167","4838.50327572445","4838.50327572445","4838.50327572445"
"70","4371.054033395711","4371.054033395711","4371.054033395711","4473.186956492445","4473.186956492445","4473.186956492445","4195.906962742157","4195.906962742157","4195.906962742157","3196.495585261117","3196.495585261117","3196.495585261117","3375.1404460899603","3375.1404460899603","3375.1404460899603","3427.8030275375586","3427.8030275375586","3427.8030275375586","2368.0767738847594","2368.0767738847594","2368.0767738847594","2173.9767737769043","2173.9767737769043","2173.9767737769043","2252.3733692878295","2252.3733692878295","2252.3733692878295","4995.739367721915","4995.739367721915","4995.739367721915","5022.887188843448","5022.887188843448","5022.887188843448","4937.584346193761","4937.584346193761","4937.584346193761"
"80","4352.717694722447","4352.717694722447","4352.717694722447","4573.997260883321","4573.997260883321","4573.997260883321","4574.4566740982045","4574.4566740982045","4574.4566740982045","3332.3293214244377","3332.3293214244377","3332.3293214244377","3283.284381366588","3283.284381366588","3283.284381366588","3287.128996249458","3287.128996249458","3287.128996249458","2258.1585434463695","2258.1585434463695","2258.1585434463695","2219.647674585137","2219.647674585137","2219.647674585137","2173.4053959395947","2173.4053959395947","2173.4053959395947","4962.330224219482","4962.330224219482","4962.330224219482","5109.614884674983","5109.614884674983","5109.614884674983","5037.279943344518","5037.279943344518","5037.279943344518"
"90","4701.7719098429825","4701.7719098429825","4701.7719098429825","4390.989226998256","4390.989226998256","4390.989226998256","4563.567144206495","4563.567144206495","4563.567144206495","3198.057760797968","3198.057760797968","3198.057760797968","2941.0889436541174","2941.0889436541174","2941.0889436541174","3189.3295984898964","3189.3295984898964","3189.3295984898964","2209.868876674686","2209.868876674686","2209.868876674686","2384.273816115166","2384.273816115166","2384.273816115166","2565.432152826014","2565.432152826014","2565.432152826014","4831.9075672103945","4831.9075672103945","4831.9075672103945","4991.224379475072","4991.224379475072","4991.224379475072","4999.211400015889","4999.211400015889","4999.211400015889"
