"Step","2025-05-03_23-51-00_Humanoid-medium-v3_ppo_reflow_logitnormal_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-03_23-51-00_Humanoid-medium-v3_ppo_reflow_logitnormal_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-03_23-51-00_Humanoid-medium-v3_ppo_reflow_logitnormal_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-03_23-50-46_Humanoid-medium-v3_ppo_reflow_logitnormal_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-03_23-50-46_Humanoid-medium-v3_ppo_reflow_logitnormal_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-03_23-50-46_Humanoid-medium-v3_ppo_reflow_logitnormal_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-03_23-49-15_Humanoid-medium-v3_ppo_reflow_logitnormal_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-03_23-49-15_Humanoid-medium-v3_ppo_reflow_logitnormal_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-03_23-49-15_Humanoid-medium-v3_ppo_reflow_logitnormal_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-03_23-47-36_Humanoid-medium-v3_ppo_reflow_beta_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-03_23-47-36_Humanoid-medium-v3_ppo_reflow_beta_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-03_23-47-36_Humanoid-medium-v3_ppo_reflow_beta_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-03_23-45-01_Humanoid-medium-v3_ppo_reflow_beta_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-03_23-45-01_Humanoid-medium-v3_ppo_reflow_beta_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-03_23-45-01_Humanoid-medium-v3_ppo_reflow_beta_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-03_23-42-57_Humanoid-medium-v3_ppo_reflow_beta_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-03_23-42-57_Humanoid-medium-v3_ppo_reflow_beta_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-03_23-42-57_Humanoid-medium-v3_ppo_reflow_beta_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-02_11-45-15_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-02_11-44-40_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward","2025-05-02_11-44-40_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MIN","2025-05-02_11-44-40_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed0 - eval/avg episode reward__MAX","2025-05-02_11-38-26_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-02_11-38-26_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-02_11-38-26_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-02_11-38-41_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-02_11-38-41_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-02_11-38-41_Humanoid-medium-v3_ppo_shortcut_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MIN","2025-05-02_01-30-24_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed3407 - eval/avg episode reward__MAX","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MIN","2025-05-02_01-30-17_Humanoid-medium-v3_ppo_reflow_mlp_ta4_td4_seed42 - eval/avg episode reward__MAX","2025-05-02_01-26-13_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - eval/avg episode reward","2025-05-02_01-26-13_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - eval/avg episode reward__MIN","2025-05-02_01-26-13_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - eval/avg episode reward__MAX","2025-05-02_01-26-06_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - eval/avg episode reward","2025-05-02_01-26-06_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - eval/avg episode reward__MIN","2025-05-02_01-26-06_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - eval/avg episode reward__MAX","2025-05-02_01-26-18_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - eval/avg episode reward","2025-05-02_01-26-18_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - eval/avg episode reward__MIN","2025-05-02_01-26-18_Humanoid-medium-v3_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - eval/avg episode reward__MAX"
"0","2429.8755429041726","2429.8755429041726","2429.8755429041726","2199.182070102672","2199.182070102672","2199.182070102672","2270.24900042191","2270.24900042191","2270.24900042191","1955.2463453803953","1955.2463453803953","1955.2463453803953","2065.2814568224453","2065.2814568224453","2065.2814568224453","2294.686254984359","2294.686254984359","2294.686254984359","1759.5996939904144","1759.5996939904144","1759.5996939904144","2167.3088533915766","2167.3088533915766","2167.3088533915766","1992.486967612897","1992.486967612897","1992.486967612897","2093.2916034237805","2093.2916034237805","2093.2916034237805","1797.1775107948642","1797.1775107948642","1797.1775107948642","1712.7153614722224","1712.7153614722224","1712.7153614722224","1683.6307806172365","1683.6307806172365","1683.6307806172365","1627.4820174651236","1627.4820174651236","1627.4820174651236","1826.3534976491007","1826.3534976491007","1826.3534976491007"
"10","2613.056666687848","2613.056666687848","2613.056666687848","2465.7833289761097","2465.7833289761097","2465.7833289761097","2942.517803631264","2942.517803631264","2942.517803631264","2420.460963780459","2420.460963780459","2420.460963780459","1824.1693021793835","1824.1693021793835","1824.1693021793835","2226.789243610617","2226.789243610617","2226.789243610617","2104.4082320900707","2104.4082320900707","2104.4082320900707","1908.3731043344524","1908.3731043344524","1908.3731043344524","2154.1616826760333","2154.1616826760333","2154.1616826760333","2370.7759888747432","2370.7759888747432","2370.7759888747432","2125.6946619987875","2125.6946619987875","2125.6946619987875","1820.3974839698128","1820.3974839698128","1820.3974839698128","2182.4717891028763","2182.4717891028763","2182.4717891028763","2495.2236307410185","2495.2236307410185","2495.2236307410185","2362.431193855946","2362.431193855946","2362.431193855946"
"20","3913.449683769603","3913.449683769603","3913.449683769603","3830.076206267457","3830.076206267457","3830.076206267457","3183.2787708589562","3183.2787708589562","3183.2787708589562","3135.0874869289814","3135.0874869289814","3135.0874869289814","3278.7068053706466","3278.7068053706466","3278.7068053706466","2515.3843768442184","2515.3843768442184","2515.3843768442184","2910.216901688275","2910.216901688275","2910.216901688275","3094.0564663218506","3094.0564663218506","3094.0564663218506","2853.3526646758532","2853.3526646758532","2853.3526646758532","2889.362378424756","2889.362378424756","2889.362378424756","2894.7134123046444","2894.7134123046444","2894.7134123046444","2737.7652894704074","2737.7652894704074","2737.7652894704074","3361.3164120867364","3361.3164120867364","3361.3164120867364","3825.2342033722484","3825.2342033722484","3825.2342033722484","4102.477055990268","4102.477055990268","4102.477055990268"
"30","4492.485514393688","4492.485514393688","4492.485514393688","4563.993254782379","4563.993254782379","4563.993254782379","3964.716010889847","3964.716010889847","3964.716010889847","4122.645166960567","4122.645166960567","4122.645166960567","3920.2473233209844","3920.2473233209844","3920.2473233209844","4091.999784080874","4091.999784080874","4091.999784080874","3968.6457385248013","3968.6457385248013","3968.6457385248013","3633.868684083158","3633.868684083158","3633.868684083158","2959.0942375876184","2959.0942375876184","2959.0942375876184","3836.1638937727757","3836.1638937727757","3836.1638937727757","3914.8732905147854","3914.8732905147854","3914.8732905147854","3816.554987069364","3816.554987069364","3816.554987069364","4052.3645049813567","4052.3645049813567","4052.3645049813567","4130.738820197697","4130.738820197697","4130.738820197697","4273.694035161532","4273.694035161532","4273.694035161532"
"40","4497.154259909601","4497.154259909601","4497.154259909601","4306.092980462142","4306.092980462142","4306.092980462142","4155.173849452881","4155.173849452881","4155.173849452881","4288.758510779635","4288.758510779635","4288.758510779635","4179.347507261019","4179.347507261019","4179.347507261019","4261.334241823674","4261.334241823674","4261.334241823674","4301.4378357789265","4301.4378357789265","4301.4378357789265","4217.131139537318","4217.131139537318","4217.131139537318","3222.319005834392","3222.319005834392","3222.319005834392","4133.933826245746","4133.933826245746","4133.933826245746","4482.942751203791","4482.942751203791","4482.942751203791","4630.497174008941","4630.497174008941","4630.497174008941","4645.496873497036","4645.496873497036","4645.496873497036","4494.957087453126","4494.957087453126","4494.957087453126","4501.5917884219225","4501.5917884219225","4501.5917884219225"
"50","4925.959683600978","4925.959683600978","4925.959683600978","4965.691805276799","4965.691805276799","4965.691805276799","4405.572535039387","4405.572535039387","4405.572535039387","4872.542421287717","4872.542421287717","4872.542421287717","4673.103938051483","4673.103938051483","4673.103938051483","4272.329247526754","4272.329247526754","4272.329247526754","4925.208057918854","4925.208057918854","4925.208057918854","4652.965071801489","4652.965071801489","4652.965071801489","3661.951299254343","3661.951299254343","3661.951299254343","4343.173182068015","4343.173182068015","4343.173182068015","4600.519483237386","4600.519483237386","4600.519483237386","4784.681864578063","4784.681864578063","4784.681864578063","4602.181713768353","4602.181713768353","4602.181713768353","4709.721119794304","4709.721119794304","4709.721119794304","4336.203027254507","4336.203027254507","4336.203027254507"
"60","4943.344137902868","4943.344137902868","4943.344137902868","5066.265046575308","5066.265046575308","5066.265046575308","4473.076055380974","4473.076055380974","4473.076055380974","4923.050578613948","4923.050578613948","4923.050578613948","4665.656441501602","4665.656441501602","4665.656441501602","4899.766822690491","4899.766822690491","4899.766822690491","5076.796530944848","5076.796530944848","5076.796530944848","4658.427145336253","4658.427145336253","4658.427145336253","4401.426472154487","4401.426472154487","4401.426472154487","4389.188030478753","4389.188030478753","4389.188030478753","4824.287710694167","4824.287710694167","4824.287710694167","4838.50327572445","4838.50327572445","4838.50327572445","4860.165756110833","4860.165756110833","4860.165756110833","4998.140111745439","4998.140111745439","4998.140111745439","4866.994532032404","4866.994532032404","4866.994532032404"
"70","5069.405052916258","5069.405052916258","5069.405052916258","5003.152469548304","5003.152469548304","5003.152469548304","4946.149591664833","4946.149591664833","4946.149591664833","4899.540966668793","4899.540966668793","4899.540966668793","4714.561650042372","4714.561650042372","4714.561650042372","4604.748115442848","4604.748115442848","4604.748115442848","4995.739367721915","4995.739367721915","4995.739367721915","4965.455370279315","4965.455370279315","4965.455370279315","4442.796500913486","4442.796500913486","4442.796500913486","4515.352235047836","4515.352235047836","4515.352235047836","5022.887188843448","5022.887188843448","5022.887188843448","4937.584346193761","4937.584346193761","4937.584346193761","5019.084453323332","5019.084453323332","5019.084453323332","4600.680798580369","4600.680798580369","4600.680798580369","4911.633825707857","4911.633825707857","4911.633825707857"
"80","4922.806127598831","4922.806127598831","4922.806127598831","5051.906974750973","5051.906974750973","5051.906974750973","5037.229543582917","5037.229543582917","5037.229543582917","5027.704587102167","5027.704587102167","5027.704587102167","4694.644347027314","4694.644347027314","4694.644347027314","5067.777993648129","5067.777993648129","5067.777993648129","4962.330224219482","4962.330224219482","4962.330224219482","5028.911786871994","5028.911786871994","5028.911786871994","4627.33950677748","4627.33950677748","4627.33950677748","4874.1018706285","4874.1018706285","4874.1018706285","5109.614884674983","5109.614884674983","5109.614884674983","5037.279943344518","5037.279943344518","5037.279943344518","4731.7994669686295","4731.7994669686295","4731.7994669686295","4906.268665832598","4906.268665832598","4906.268665832598","4858.164658746035","4858.164658746035","4858.164658746035"
"90","5128.357682478792","5128.357682478792","5128.357682478792","4998.358746519973","4998.358746519973","4998.358746519973","4932.669912056197","4932.669912056197","4932.669912056197","4962.657009371907","4962.657009371907","4962.657009371907","4931.99770435488","4931.99770435488","4931.99770435488","4992.694599376627","4992.694599376627","4992.694599376627","4831.9075672103945","4831.9075672103945","4831.9075672103945","4843.310181901598","4843.310181901598","4843.310181901598","4567.507463040425","4567.507463040425","4567.507463040425","5061.47900890088","5061.47900890088","5061.47900890088","4991.224379475072","4991.224379475072","4991.224379475072","4999.211400015889","4999.211400015889","4999.211400015889","4934.48082016218","4934.48082016218","4934.48082016218","4837.437115442993","4837.437115442993","4837.437115442993","4943.626971642368","4943.626971642368","4943.626971642368"
