"Step","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_13-43-34_walker2d-medium-v2_ppo_shortcut_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_13-34-39_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward","2025-05-22_13-34-39_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_13-34-39_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_13-34-28_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward","2025-05-22_13-34-28_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_13-34-28_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-22_13-33-28_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward","2025-05-22_13-33-28_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_13-33-28_walker2d-medium-v2_ppo_reflow_mlp_ta4_td4_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward__MIN","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed42 - eval/avg episode reward__MAX","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward__MIN","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed3407 - eval/avg episode reward__MAX","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward__MIN","2025-05-22_11-41-25_walker2d-medium-v2_ppo_diffusion_mlp_ta4_td20_d4rl_seed0 - eval/avg episode reward__MAX","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_13-16-07_walker2d-medium-v2_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","2025-05-09_11-54-21_walker2d-medium-v2_fql_mlp_ta4_td4 - avg episode reward - eval","2025-05-09_11-54-21_walker2d-medium-v2_fql_mlp_ta4_td4 - avg episode reward - eval__MIN","2025-05-09_11-54-21_walker2d-medium-v2_fql_mlp_ta4_td4 - avg episode reward - eval__MAX"
"0","2810.440395421905","2810.440395421905","2810.440395421905","2856.0416277496656","2856.0416277496656","2856.0416277496656","2551.0926718330866","2551.0926718330866","2551.0926718330866","2685.3973019605273","2685.3973019605273","2685.3973019605273","2845.3403904030956","2845.3403904030956","2845.3403904030956","2688.9629035615244","2688.9629035615244","2688.9629035615244","2947.5855824831547","2947.5855824831547","2947.5855824831547","3176.6223451932183","3176.6223451932183","3176.6223451932183","2989.8449798736087","2989.8449798736087","2989.8449798736087","177.43128475711168","177.43128475711168","177.43128475711168","95.40075924477793","95.40075924477793","95.40075924477793","43.5970831077835","43.5970831077835","43.5970831077835"
"10","3503.7806569830395","3503.7806569830395","3503.7806569830395","3499.517415391829","3499.517415391829","3499.517415391829","3532.0963586829253","3532.0963586829253","3532.0963586829253","3451.499742072056","3451.499742072056","3451.499742072056","3357.414674428503","3357.414674428503","3357.414674428503","3347.127712107506","3347.127712107506","3347.127712107506","3320.217838460155","3320.217838460155","3320.217838460155","3378.897396318719","3378.897396318719","3378.897396318719","3389.9243140684125","3389.9243140684125","3389.9243140684125","","","","","","","","",""
"20","3740.665581865994","3740.665581865994","3740.665581865994","3732.250521294968","3732.250521294968","3732.250521294968","3794.5252520439944","3794.5252520439944","3794.5252520439944","3667.2656100180234","3667.2656100180234","3667.2656100180234","3658.0236850201327","3658.0236850201327","3658.0236850201327","3615.7309631264857","3615.7309631264857","3615.7309631264857","3563.4146390332085","3563.4146390332085","3563.4146390332085","3499.1979968193396","3499.1979968193396","3499.1979968193396","3464.840341002896","3464.840341002896","3464.840341002896","","","","","","","","",""
"30","3839.34913243918","3839.34913243918","3839.34913243918","3804.8755867953178","3804.8755867953178","3804.8755867953178","3812.321030955837","3812.321030955837","3812.321030955837","3673.4663169053806","3673.4663169053806","3673.4663169053806","3649.5121573328056","3649.5121573328056","3649.5121573328056","3599.5940284156286","3599.5940284156286","3599.5940284156286","3556.2090471538913","3556.2090471538913","3556.2090471538913","3603.4602632152046","3603.4602632152046","3603.4602632152046","3568.6027671119964","3568.6027671119964","3568.6027671119964","","","","","","","","",""
"40","3984.624635180131","3984.624635180131","3984.624635180131","3822.1991316690473","3822.1991316690473","3822.1991316690473","3823.565096012663","3823.565096012663","3823.565096012663","3700.0566842569","3700.0566842569","3700.0566842569","3627.9626219715055","3627.9626219715055","3627.9626219715055","3623.2072486712423","3623.2072486712423","3623.2072486712423","3499.8429556000747","3499.8429556000747","3499.8429556000747","3570.4586033388537","3570.4586033388537","3570.4586033388537","3606.785640360602","3606.785640360602","3606.785640360602","","","","","","","","",""
"50","3983.6594322181422","3983.6594322181422","3983.6594322181422","3878.6305191941747","3878.6305191941747","3878.6305191941747","3797.302653365767","3797.302653365767","3797.302653365767","3710.3635838306523","3710.3635838306523","3710.3635838306523","3687.01545230966","3687.01545230966","3687.01545230966","3743.568561957925","3743.568561957925","3743.568561957925","3544.6025451844266","3544.6025451844266","3544.6025451844266","3646.187959121607","3646.187959121607","3646.187959121607","3597.2224060299436","3597.2224060299436","3597.2224060299436","","","","","","","","",""
"60","3980.93454560999","3980.93454560999","3980.93454560999","3795.1531648230048","3795.1531648230048","3795.1531648230048","3871.8831928342174","3871.8831928342174","3871.8831928342174","3731.09397155377","3731.09397155377","3731.09397155377","3753.390309110141","3753.390309110141","3753.390309110141","3844.8687635995584","3844.8687635995584","3844.8687635995584","3616.1386496228124","3616.1386496228124","3616.1386496228124","3657.056499305689","3657.056499305689","3657.056499305689","3576.0034738978684","3576.0034738978684","3576.0034738978684","","","","","","","","",""
"70","4030.1714932670934","4030.1714932670934","4030.1714932670934","3898.1280889797536","3898.1280889797536","3898.1280889797536","3793.5543936048766","3793.5543936048766","3793.5543936048766","3810.503187051139","3810.503187051139","3810.503187051139","3816.1508695783086","3816.1508695783086","3816.1508695783086","3871.4528179724452","3871.4528179724452","3871.4528179724452","3544.839743174586","3544.839743174586","3544.839743174586","3719.6306462860257","3719.6306462860257","3719.6306462860257","3485.107555822059","3485.107555822059","3485.107555822059","","","","","","","","",""
"80","4012.740164117034","4012.740164117034","4012.740164117034","3860.0439421465053","3860.0439421465053","3860.0439421465053","3784.7004562015754","3784.7004562015754","3784.7004562015754","3885.357889287713","3885.357889287713","3885.357889287713","3828.6349335607765","3828.6349335607765","3828.6349335607765","3974.4116568126947","3974.4116568126947","3974.4116568126947","3650.4614554628183","3650.4614554628183","3650.4614554628183","3702.383234611375","3702.383234611375","3702.383234611375","3463.5597211754257","3463.5597211754257","3463.5597211754257","","","","","","","","",""
"90","4001.764576030382","4001.764576030382","4001.764576030382","3853.8411026275817","3853.8411026275817","3853.8411026275817","3807.050173259899","3807.050173259899","3807.050173259899","3962.5729712695625","3962.5729712695625","3962.5729712695625","3774.5858482129015","3774.5858482129015","3774.5858482129015","3998.303018816382","3998.303018816382","3998.303018816382","3664.5651555142053","3664.5651555142053","3664.5651555142053","3652.6236530848983","3652.6236530848983","3652.6236530848983","3542.803356553473","3542.803356553473","3542.803356553473","","","","","","","","",""
