"Step","2025-05-22_19-58-31_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed0 - eval/avg episode reward","2025-05-22_19-58-31_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed0 - eval/avg episode reward__MIN","2025-05-22_19-58-31_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed0 - eval/avg episode reward__MAX","2025-05-22_19-58-22_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed3407 - eval/avg episode reward","2025-05-22_19-58-22_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed3407 - eval/avg episode reward__MIN","2025-05-22_19-58-22_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed3407 - eval/avg episode reward__MAX","2025-05-22_19-58-11_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td1_tdf1_seed0 - eval/avg episode reward","2025-05-22_19-58-11_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td1_tdf1_seed0 - eval/avg episode reward__MIN","2025-05-22_19-58-11_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td1_tdf1_seed0 - eval/avg episode reward__MAX","2025-05-22_19-57-36_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td1_tdf1_seed3407 - eval/avg episode reward","2025-05-22_19-57-36_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td1_tdf1_seed3407 - eval/avg episode reward__MIN","2025-05-22_19-57-36_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td1_tdf1_seed3407 - eval/avg episode reward__MAX","2025-05-08_11-25-18_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td1_tdf1_seed42 - eval/avg episode reward","2025-05-08_11-25-18_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td1_tdf1_seed42 - eval/avg episode reward__MIN","2025-05-08_11-25-18_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td1_tdf1_seed42 - eval/avg episode reward__MAX","2025-05-08_11-24-43_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed42 - eval/avg episode reward","2025-05-08_11-24-43_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed42 - eval/avg episode reward__MIN","2025-05-08_11-24-43_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td2_tdf2_seed42 - eval/avg episode reward__MAX","2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward","2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MIN","2025-05-08_11-20-55_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MAX","2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward","2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward__MIN","2025-05-08_11-20-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward__MAX","2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward","2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MIN","2025-05-08_07-03-14_kitchen-complete-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MAX"
"0","1.967032967032967","1.967032967032967","1.967032967032967","1.8241758241758241","1.8241758241758241","1.8241758241758241","1.3855421686746987","1.3855421686746987","1.3855421686746987","1.4698795180722892","1.4698795180722892","1.4698795180722892","1.3333333333333333","1.3333333333333333","1.3333333333333333","1.8","1.8","1.8","2.8947368421052633","2.8947368421052633","2.8947368421052633","2.911504424778761","2.911504424778761","2.911504424778761","2.9732142857142856","2.9732142857142856","2.9732142857142856"
"10","3.5078125","3.5078125","3.5078125","3.6742424242424243","3.6742424242424243","3.6742424242424243","1.1625","1.1625","1.1625","1.7108433734939759","1.7108433734939759","1.7108433734939759","1.6626506024096386","1.6626506024096386","1.6626506024096386","3.2100840336134455","3.2100840336134455","3.2100840336134455","3.6842105263157894","3.6842105263157894","3.6842105263157894","3.488","3.488","3.488","3.826388888888889","3.826388888888889","3.826388888888889"
"20","3.3548387096774195","3.3548387096774195","3.3548387096774195","3.590909090909091","3.590909090909091","3.590909090909091","1.6904761904761905","1.6904761904761905","1.6904761904761905","1.9550561797752808","1.9550561797752808","1.9550561797752808","1.8522727272727273","1.8522727272727273","1.8522727272727273","3.4732824427480917","3.4732824427480917","3.4732824427480917","3.836734693877551","3.836734693877551","3.836734693877551","3.6744186046511627","3.6744186046511627","3.6744186046511627","3.9027777777777777","3.9027777777777777","3.9027777777777777"
"30","3.484126984126984","3.484126984126984","3.484126984126984","3.7338129496402876","3.7338129496402876","3.7338129496402876","1.619047619047619","1.619047619047619","1.619047619047619","2.2282608695652173","2.2282608695652173","2.2282608695652173","2.130434782608696","2.130434782608696","2.130434782608696","3.6666666666666665","3.6666666666666665","3.6666666666666665","3.8639455782312924","3.8639455782312924","3.8639455782312924","3.8345323741007196","3.8345323741007196","3.8345323741007196","3.9194630872483223","3.9194630872483223","3.9194630872483223"
"40","3.40625","3.40625","3.40625","3.75177304964539","3.75177304964539","3.75177304964539","1.875","1.875","1.875","2.1808510638297873","2.1808510638297873","2.1808510638297873","2.25","2.25","2.25","3.7142857142857144","3.7142857142857144","3.7142857142857144","3.815068493150685","3.815068493150685","3.815068493150685","3.8345323741007196","3.8345323741007196","3.8345323741007196","3.9271523178807946","3.9271523178807946","3.9271523178807946"
"50","3.651851851851852","3.651851851851852","3.651851851851852","3.76056338028169","3.76056338028169","3.76056338028169","1.7586206896551724","1.7586206896551724","1.7586206896551724","2.4536082474226806","2.4536082474226806","2.4536082474226806","2.0543478260869565","2.0543478260869565","2.0543478260869565","3.6739130434782608","3.6739130434782608","3.6739130434782608","3.8926174496644297","3.8926174496644297","3.8926174496644297","3.8472222222222223","3.8472222222222223","3.8472222222222223","3.935483870967742","3.935483870967742","3.935483870967742"
"60","3.6148148148148147","3.6148148148148147","3.6148148148148147","3.7857142857142856","3.7857142857142856","3.7857142857142856","1.9770114942528736","1.9770114942528736","1.9770114942528736","2.4554455445544554","2.4554455445544554","2.4554455445544554","2.212121212121212","2.212121212121212","2.212121212121212","3.8111888111888113","3.8111888111888113","3.8111888111888113","3.848684210526316","3.848684210526316","3.848684210526316","3.8380281690140845","3.8380281690140845","3.8380281690140845","3.9290322580645163","3.9290322580645163","3.9290322580645163"
"70","3.6315789473684212","3.6315789473684212","3.6315789473684212","3.8111888111888113","3.8111888111888113","3.8111888111888113","2.1595744680851063","2.1595744680851063","2.1595744680851063","2.366336633663366","2.366336633663366","2.366336633663366","2.3608247422680413","2.3608247422680413","2.3608247422680413","3.6715328467153285","3.6715328467153285","3.6715328467153285","3.9612903225806453","3.9612903225806453","3.9612903225806453","3.9054054054054053","3.9054054054054053","3.9054054054054053","3.9290322580645163","3.9290322580645163","3.9290322580645163"
"80","3.5877862595419847","3.5877862595419847","3.5877862595419847","3.8493150684931505","3.8493150684931505","3.8493150684931505","2.242424242424242","2.242424242424242","2.242424242424242","2.2736842105263158","2.2736842105263158","2.2736842105263158","2.242424242424242","2.242424242424242","2.242424242424242","3.623076923076923","3.623076923076923","3.623076923076923","3.8933333333333335","3.8933333333333335","3.8933333333333335","3.7785714285714285","3.7785714285714285","3.7785714285714285","3.9235668789808917","3.9235668789808917","3.9235668789808917"
"90","3.765957446808511","3.765957446808511","3.765957446808511","3.8758620689655174","3.8758620689655174","3.8758620689655174","2.36","2.36","2.36","2.4019607843137254","2.4019607843137254","2.4019607843137254","2.066666666666667","2.066666666666667","2.066666666666667","3.7794117647058822","3.7794117647058822","3.7794117647058822","3.838926174496644","3.838926174496644","3.838926174496644","3.825174825174825","3.825174825174825","3.825174825174825","3.92258064516129","3.92258064516129","3.92258064516129"
"100","3.885135135135135","3.885135135135135","3.885135135135135","3.7720588235294117","3.7720588235294117","3.7720588235294117","2.10752688172043","2.10752688172043","2.10752688172043","2.4607843137254903","2.4607843137254903","2.4607843137254903","2.51","2.51","2.51","3.7943262411347516","3.7943262411347516","3.7943262411347516","3.780821917808219","3.780821917808219","3.780821917808219","3.8733333333333335","3.8733333333333335","3.8733333333333335","3.9038461538461537","3.9038461538461537","3.9038461538461537"
"110","3.8074074074074074","3.8074074074074074","3.8074074074074074","3.7943262411347516","3.7943262411347516","3.7943262411347516","2.263157894736842","2.263157894736842","2.263157894736842","2.2526315789473683","2.2526315789473683","2.2526315789473683","2.53","2.53","2.53","3.6911764705882355","3.6911764705882355","3.6911764705882355","3.75177304964539","3.75177304964539","3.75177304964539","3.8344827586206898","3.8344827586206898","3.8344827586206898","3.892405063291139","3.892405063291139","3.892405063291139"
"120","3.7553956834532376","3.7553956834532376","3.7553956834532376","3.7785714285714285","3.7785714285714285","3.7785714285714285","2.4444444444444446","2.4444444444444446","2.4444444444444446","2.5514018691588785","2.5514018691588785","2.5514018691588785","2.595959595959596","2.595959595959596","2.595959595959596","3.8482758620689657","3.8482758620689657","3.8482758620689657","3.8562091503267975","3.8562091503267975","3.8562091503267975","3.8424657534246576","3.8424657534246576","3.8424657534246576","3.9685534591194966","3.9685534591194966","3.9685534591194966"
"130","3.762589928057554","3.762589928057554","3.762589928057554","3.832167832167832","3.832167832167832","3.832167832167832","2.4752475247524752","2.4752475247524752","2.4752475247524752","2.43","2.43","2.43","2.3535353535353534","2.3535353535353534","2.3535353535353534","3.836734693877551","3.836734693877551","3.836734693877551","3.8543046357615895","3.8543046357615895","3.8543046357615895","3.9205298013245033","3.9205298013245033","3.9205298013245033","3.949044585987261","3.949044585987261","3.949044585987261"
"140","3.748148148148148","3.748148148148148","3.748148148148148","3.8299319727891157","3.8299319727891157","3.8299319727891157","2.4705882352941178","2.4705882352941178","2.4705882352941178","2.5","2.5","2.5","2.4653465346534653","2.4653465346534653","2.4653465346534653","3.7985611510791366","3.7985611510791366","3.7985611510791366","3.883116883116883","3.883116883116883","3.883116883116883","3.8993288590604025","3.8993288590604025","3.8993288590604025","3.9044585987261144","3.9044585987261144","3.9044585987261144"
