"Step","2025-05-25_12-39-58_kitchen-mixed-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval","2025-05-25_12-39-58_kitchen-mixed-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MIN","2025-05-25_12-39-58_kitchen-mixed-v0_fql_mlp_ta4_td4_seed42 - avg episode reward - eval__MAX","2025-05-24_22-13-24_kitchen-mixed-v0_fql_mlp_ta4_td4_seed2025 - avg episode reward - eval","2025-05-24_22-13-24_kitchen-mixed-v0_fql_mlp_ta4_td4_seed2025 - avg episode reward - eval__MIN","2025-05-24_22-13-24_kitchen-mixed-v0_fql_mlp_ta4_td4_seed2025 - avg episode reward - eval__MAX","2025-05-10_21-40-09_kitchen-mixed-v0_fql_mlp_ta4_td4_seed509 - avg episode reward - eval","2025-05-10_21-40-09_kitchen-mixed-v0_fql_mlp_ta4_td4_seed509 - avg episode reward - eval__MIN","2025-05-10_21-40-09_kitchen-mixed-v0_fql_mlp_ta4_td4_seed509 - avg episode reward - eval__MAX","2025-05-10_21-40-08_kitchen-mixed-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval","2025-05-10_21-40-08_kitchen-mixed-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MIN","2025-05-10_21-40-08_kitchen-mixed-v0_fql_mlp_ta4_td4_seed3407 - avg episode reward - eval__MAX","2025-05-10_21-40-08_kitchen-mixed-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval","2025-05-10_21-40-08_kitchen-mixed-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MIN","2025-05-10_21-40-08_kitchen-mixed-v0_fql_mlp_ta4_td4_seed0 - avg episode reward - eval__MAX","2025-05-09_18-33-34_kitchen-mixed-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed509 - avg episode reward - eval","2025-05-09_18-33-34_kitchen-mixed-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed509 - avg episode reward - eval__MIN","2025-05-09_18-33-34_kitchen-mixed-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed509 - avg episode reward - eval__MAX","2025-05-09_18-33-25_kitchen-mixed-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed2025 - avg episode reward - eval","2025-05-09_18-33-25_kitchen-mixed-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed2025 - avg episode reward - eval__MIN","2025-05-09_18-33-25_kitchen-mixed-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed2025 - avg episode reward - eval__MAX","2025-05-09_18-33-05_kitchen-mixed-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed509 - eval/avg episode reward","2025-05-09_18-33-05_kitchen-mixed-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed509 - eval/avg episode reward__MIN","2025-05-09_18-33-05_kitchen-mixed-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed509 - eval/avg episode reward__MAX","2025-05-09_18-32-33_kitchen-mixed-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed2025 - eval/avg episode reward","2025-05-09_18-32-33_kitchen-mixed-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed2025 - eval/avg episode reward__MIN","2025-05-09_18-32-33_kitchen-mixed-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed2025 - eval/avg episode reward__MAX","2025-05-09_15-38-28_kitchen-mixed-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval","2025-05-09_15-38-28_kitchen-mixed-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MIN","2025-05-09_15-38-28_kitchen-mixed-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed3407 - avg episode reward - eval__MAX","2025-05-09_15-38-28_kitchen-mixed-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval","2025-05-09_15-38-28_kitchen-mixed-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MIN","2025-05-09_15-38-28_kitchen-mixed-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed0 - avg episode reward - eval__MAX","2025-05-08_23-03-05_kitchen-mixed-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward","2025-05-08_23-03-05_kitchen-mixed-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MIN","2025-05-08_23-03-05_kitchen-mixed-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed3407 - eval/avg episode reward__MAX","2025-05-08_23-02-13_kitchen-mixed-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward","2025-05-08_23-02-13_kitchen-mixed-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward__MIN","2025-05-08_23-02-13_kitchen-mixed-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed0 - eval/avg episode reward__MAX","2025-05-08_20-34-31_kitchen-mixed-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval","2025-05-08_20-34-31_kitchen-mixed-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MIN","2025-05-08_20-34-31_kitchen-mixed-v0_ppo_diffusion_mlp_ta4_td20_tdf10_seed42 - avg episode reward - eval__MAX","2025-05-08_20-13-28_kitchen-mixed-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward","2025-05-08_20-13-28_kitchen-mixed-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MIN","2025-05-08_20-13-28_kitchen-mixed-v0_ppo_shortcut_mlp_ta4_td4_tdf4_seed42 - eval/avg episode reward__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9","1.9","1.9","1.9375","1.9375","1.9375","1.9125","1.9125","1.9125","1.9","1.9","1.9","2","2","2","2","2","2","1.925","1.925","1.925","1.9875","1.9875","1.9875","1.9625","1.9625","1.9625","1.95","1.95","1.95"
"10","","","","","","","","","","","","","","","","2.2375","2.2375","2.2375","2.5125","2.5125","2.5125","2.5875","2.5875","2.5875","2.4","2.4","2.4","2.3","2.3","2.3","2.375","2.375","2.375","2.65","2.65","2.65","2.65","2.65","2.65","2.2125","2.2125","2.2125","2.6","2.6","2.6"
"20","","","","","","","","","","","","","","","","2.55","2.55","2.55","2.85","2.85","2.85","2.775","2.775","2.775","2.95","2.95","2.95","2.7875","2.7875","2.7875","2.75","2.75","2.75","2.9625","2.9625","2.9625","2.925","2.925","2.925","2.6375","2.6375","2.6375","2.9125","2.9125","2.9125"
"30","","","","","","","","","","","","","","","","2.8625","2.8625","2.8625","2.9125","2.9125","2.9125","2.925","2.925","2.925","2.975","2.975","2.975","2.925","2.925","2.925","2.8764044943820224","2.8764044943820224","2.8764044943820224","2.9625","2.9625","2.9625","2.95","2.95","2.95","2.9","2.9","2.9","2.925","2.925","2.925"
"40","","","","","","","","","","","","","","","","2.8125","2.8125","2.8125","2.975","2.975","2.975","2.925","2.925","2.925","2.9625","2.9625","2.9625","2.975","2.975","2.975","3.725","3.725","3.725","2.9125","2.9125","2.9125","2.9875","2.9875","2.9875","2.8875","2.8875","2.8875","2.975","2.975","2.975"
"50","","","","","","","","","","","","","","","","2.975","2.975","2.975","3","3","3","2.9625","2.9625","2.9625","2.95","2.95","2.95","2.975","2.975","2.975","3.9602649006622515","3.9602649006622515","3.9602649006622515","2.9125","2.9125","2.9125","2.975","2.975","2.975","2.9","2.9","2.9","3","3","3"
"60","","","","","","","","","","","","","","","","2.975","2.975","2.975","2.975","2.975","2.975","2.975","2.975","2.975","2.9875","2.9875","2.9875","3","3","3","4","4","4","2.9875","2.9875","2.9875","2.9625","2.9625","2.9625","2.95","2.95","2.95","3","3","3"
"70","","","","","","","","","","","","","","","","3","3","3","3","3","3","2.975","2.975","2.975","2.9875","2.9875","2.9875","2.9625","2.9625","2.9625","3.962025316455696","3.962025316455696","3.962025316455696","2.95","2.95","2.95","2.9625","2.9625","2.9625","2.9875","2.9875","2.9875","2.9625","2.9625","2.9625"
"80","","","","","","","","","","","","","","","","3","3","3","3","3","3","2.975","2.975","2.975","2.9","2.9","2.9","2.9625","2.9625","2.9625","4","4","4","2.9875","2.9875","2.9875","2.975","2.975","2.975","3","3","3","3","3","3"
"90","","","","","","","","","","","","","","","","3","3","3","2.9875","2.9875","2.9875","3","3","3","2.9375","2.9375","2.9375","2.975","2.975","2.975","4","4","4","2.9875","2.9875","2.9875","3","3","3","2.9875","2.9875","2.9875","2.9875","2.9875","2.9875"
"100","","","","","","","","","","","","","","","","2.9875","2.9875","2.9875","3","3","3","2.975","2.975","2.975","2.9625","2.9625","2.9625","2.9875","2.9875","2.9875","4","4","4","3","3","3","3","3","3","3","3","3","3","3","3"
"110","","","","","","","","","","","","","","","","2.975","2.975","2.975","2.9875","2.9875","2.9875","3","3","3","2.95","2.95","2.95","3","3","3","4","4","4","3","3","3","3","3","3","3","3","3","2.9875","2.9875","2.9875"
"120","","","","","","","","","","","","","","","","2.9875","2.9875","2.9875","2.9875","2.9875","2.9875","3","3","3","2.975","2.975","2.975","3.2551020408163267","3.2551020408163267","3.2551020408163267","4","4","4","2.975","2.975","2.975","2.9375","2.9375","2.9375","3","3","3","2.9875","2.9875","2.9875"
"130","","","","","","","","","","","","","","","","2.9875","2.9875","2.9875","2.9625","2.9625","2.9625","2.9875","2.9875","2.9875","2.9875","2.9875","2.9875","3.7063492063492065","3.7063492063492065","3.7063492063492065","4","4","4","2.9875","2.9875","2.9875","2.9","2.9","2.9","3","3","3","2.9625","2.9625","2.9625"
"140","","","","","","","","","","","","","","","","3","3","3","3","3","3","2.9875","2.9875","2.9875","2.9875","2.9875","2.9875","3.7846153846153845","3.7846153846153845","3.7846153846153845","4","4","4","2.9625","2.9625","2.9625","3","3","3","3","3","3","3","3","3"
"150","","","","","","","","","","","","","","","","3","3","3","3","3","3","2.9875","2.9875","2.9875","2.9625","2.9625","2.9625","3.8652482269503547","3.8652482269503547","3.8652482269503547","4","4","4","3","3","3","2.9875","2.9875","2.9875","3","3","3","2.95","2.95","2.95"
"160","","","","","","","","","","","","","","","","3","3","3","3","3","3","2.975","2.975","2.975","2.975","2.975","2.975","3.9452054794520546","3.9452054794520546","3.9452054794520546","4","4","4","2.9875","2.9875","2.9875","2.975","2.975","2.975","3","3","3","2.95","2.95","2.95"
"170","","","","","","","","","","","","","","","","3","3","3","3","3","3","2.975","2.975","2.975","3","3","3","3.9527027027027026","3.9527027027027026","3.9527027027027026","4","4","4","2.9875","2.9875","2.9875","2.9625","2.9625","2.9625","2.9875","2.9875","2.9875","2.9875","2.9875","2.9875"
"180","","","","","","","","","","","","","","","","3","3","3","3.0125","3.0125","3.0125","3","3","3","2.9625","2.9625","2.9625","3.9054054054054053","3.9054054054054053","3.9054054054054053","4","4","4","3","3","3","2.975","2.975","2.975","3","3","3","2.975","2.975","2.975"
"190","","","","","","","","","","","","","","","","3","3","3","3","3","3","3","3","3","3","3","3","3.947712418300654","3.947712418300654","3.947712418300654","4","4","4","2.9875","2.9875","2.9875","3","3","3","3","3","3","3","3","3"
"200","","","","","","","","","","","","","","","","3","3","3","3","3","3","2.9875","2.9875","2.9875","2.975","2.975","2.975","3.564516129032258","3.564516129032258","3.564516129032258","4","4","4","3","3","3","3","3","3","3","3","3","2.975","2.975","2.975"
